M1_环深不乘R	fn ring_depth(slots_per_region: u64) -> u64 {\n    REGION_COUNT * slots_per_region\n}	fn ring_depth(slots_per_region: u64) -> u64 {\n    slots_per_region\n}
M2_扣块不乘每次写块数	fn pinned_blocks(protected_generations: u64) -> u64 {\n    protected_generations * BLOCKS_PER_FSYNC\n}	fn pinned_blocks(protected_generations: u64) -> u64 {\n    protected_generations\n}
M3_记账保留代数不加一	fn accounting_keys(protected_generations: u64) -> u64 {\n    STATISTIC_COUNT * (protected_generations + 1)\n}	fn accounting_keys(protected_generations: u64) -> u64 {\n    STATISTIC_COUNT * protected_generations\n}
M4_相位数不减一	fn escape_phases(protected_generations: u64) -> u64 {\n    protected_generations.saturating_sub(1)\n}	fn escape_phases(protected_generations: u64) -> u64 {\n    protected_generations\n}
M5_臂二的K改成一	const ARM2_PROTECTED_GENERATIONS: u64 = 2;	const ARM2_PROTECTED_GENERATIONS: u64 = 1;
M6_粗粒度块数算错	const BLOCKS_PER_FSYNC: u64 = 8 + 3 + 1 + 1;	const BLOCKS_PER_FSYNC: u64 = 8 + 3;
M7_统计量数换档	const STATISTIC_COUNT: u64 = 64;	const STATISTIC_COUNT: u64 = 32;
M8_R改成二	const REGION_COUNT: u64 = 3;	const REGION_COUNT: u64 = 2;
M9_差价恒零	    let arm1_metrics = metrics(arm1_protected_generations);\n    let arm2_metrics = metrics(arm2_protected_generations);\n    (arm1_metrics.0 - arm2_metrics.0, arm1_metrics.1 - arm2_metrics.1, arm1_metrics.2 - arm2_metrics.2, arm1_metrics.3 - arm2_metrics.3)	    let _ = (arm1_protected_generations, arm2_protected_generations);\n    (0, 0, 0, 0)
M10_差价把两臂弄反	    let arm1_metrics = metrics(arm1_protected_generations);\n    let arm2_metrics = metrics(arm2_protected_generations);	    let arm2_metrics = metrics(arm1_protected_generations);\n    let arm1_metrics = metrics(arm2_protected_generations);
M11_S扫描漏掉最大那档	const SLOTS_PER_REGION_SWEEP: [u64; 5] = [1, 2, 4, 8, 16];	const SLOTS_PER_REGION_SWEEP: [u64; 5] = [1, 2, 4, 8, 8];
