M1_两块盘改成一块	const DEVICE_COUNT: u64 = 2;	const DEVICE_COUNT: u64 = 1;
M2_甲不写映射树	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: 0,
M3_甲不写超级块槽	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        tree_table_bytes: (core.tree_table_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        root_slot_bytes: pbs,\n        superblock_bytes: SUPERBLOCK_SLOT_BYTES * DEVICE_COUNT,	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        tree_table_bytes: (core.tree_table_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        root_slot_bytes: pbs,\n        superblock_bytes: 0,
M4_根槽宽恒4096	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        tree_table_bytes: (core.tree_table_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        root_slot_bytes: pbs,	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        tree_table_bytes: (core.tree_table_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        root_slot_bytes: 4096,
M5_inode树允许1层	let inode_layers = tree_layers(file_count, inode_leaf_cap, inode_internal_cap, 2);	let inode_layers = tree_layers(file_count, inode_leaf_cap, inode_internal_cap, 1);
M6_WAL的fsync多写一个根槽宽度的字节	data_bytes: fsync_data_unit_count * UNIT_BYTES * DEVICE_COUNT,\n        extent_bytes: (extent_component * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,	data_bytes: fsync_data_unit_count * UNIT_BYTES * DEVICE_COUNT + PRIMARY_PHYSICAL_BLOCK_SIZE_BYTES,\n        extent_bytes: (extent_component * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,
M7_乙在fsync写全部祖先	let extent_leaf = extent_dirty[0];	let extent_leaf = sum_f64(&extent_dirty);
M9_摊销分母取N加1	(fsync_total_bytes as f64 * interval_fsyncs as f64 + checkpoint_total_bytes as f64) / interval_fsyncs as f64	(fsync_total_bytes as f64 * interval_fsyncs as f64 + checkpoint_total_bytes as f64) / (interval_fsyncs as f64 + 1.0)
M12_散组不饱和直接返回触达数	expected_saturated_node_count * (1.0 - (1.0 - 1.0 / expected_saturated_node_count).powf(touch_count))	touch_count
M15_G23_1分子加超级块槽	+ self.root_slot_bytes\n    }	+ self.root_slot_bytes\n            + self.superblock_bytes\n    }
M19_环安全系数改成2	const RING_SAFETY_FACTOR_MAIN: u64 = 3;	const RING_SAFETY_FACTOR_MAIN: u64 = 2;
M10_一条记录容量改成71	const NAMED_ITEMS_PER_RECORD_MAIN: u64 = (RECORD_BYTES - RECORD_HEADER_BYTES) / NAMED_ITEM_BYTES;	const NAMED_ITEMS_PER_RECORD_MAIN: u64 = 71;
M17_Q3_1不计头H	let rounded = ((header as f64 + conditions_per_node * entry_width as f64) / pbs as f64).ceil() * pbs as f64;	let rounded = ((conditions_per_node * entry_width as f64) / pbs as f64).ceil() * pbs as f64;
M18_Q4_1不计单元头134	let fsync_data_unit_count = shape.family.data_units_per_fsync();\n    let rounded = (DATA_UNIT_HEADER_AND_TRAILER_BYTES + content_bytes).div_ceil(pbs) * pbs;	let fsync_data_unit_count = shape.family.data_units_per_fsync();\n    let rounded = content_bytes.div_ceil(pbs) * pbs;
M22_Q5_3用32768当一层的宽	let bytes_per_layer_growth_ratio = (tree_bytes_at_threshold as f64 - tree_bytes_before_threshold as f64) / (NODE_BYTES as f64 * DEVICE_COUNT as f64);\n        // P=144→145 只多一个脏节点	let bytes_per_layer_growth_ratio = (tree_bytes_at_threshold as f64 - tree_bytes_before_threshold as f64) / (UNIT_BYTES as f64 * DEVICE_COUNT as f64);\n        // P=144→145 只多一个脏节点
