M1_两块盘改成一块	const DEVICE_COUNT: u64 = 2;	const DEVICE_COUNT: u64 = 1;
M2_甲不写映射树	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: 0,
M3_甲不写超级块槽	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        tree_table_bytes: (core.tree_table_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        root_slot_bytes: pbs,\n        superblock_bytes: SUPERBLOCK_SLOT_BYTES * DEVICE_COUNT,	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        tree_table_bytes: (core.tree_table_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        root_slot_bytes: pbs,\n        superblock_bytes: 0,
M4_根槽宽恒4096	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        tree_table_bytes: (core.tree_table_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        root_slot_bytes: pbs,	inode_root_bytes: (inode_root_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        allocation_bytes: (allocation_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        accounting_bytes: (core.accounting_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        mapping_bytes: (mapping_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        tree_table_bytes: (core.tree_table_dirty_total * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,\n        record_bytes: record_count * RECORD_BYTES * DEVICE_COUNT,\n        root_slot_bytes: 4096,
M5_inode树允许1层	    let inode_internal_cap = geometry.leaf_capacity(node_capacity(INODE_KEY_BYTES, INODE_INTERNAL_ENTRY_BYTES));\n    let inode_layers = tree_layers(file_count, inode_leaf_cap, inode_internal_cap, 2);	    let inode_internal_cap = geometry.leaf_capacity(node_capacity(INODE_KEY_BYTES, INODE_INTERNAL_ENTRY_BYTES));\n    let inode_layers = tree_layers(file_count, inode_leaf_cap, inode_internal_cap, 1);
M6_WAL的fsync多写一个根槽宽度的字节	data_bytes: fsync_data_unit_count * UNIT_BYTES * DEVICE_COUNT,\n        extent_bytes: (extent_component * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,	data_bytes: fsync_data_unit_count * UNIT_BYTES * DEVICE_COUNT + PRIMARY_PHYSICAL_BLOCK_SIZE_BYTES,\n        extent_bytes: (extent_component * NODE_BYTES as f64).round() as u64 * DEVICE_COUNT,
M7_乙在fsync写全部祖先	            (extent_total, inode_container, inode_root, 2u64)\n        }\n        WriteAheadLogArm::WriteAheadLogLeaf => {\n            let extent_leaf = extent_dirty[0];	            (extent_total, inode_container, inode_root, 2u64)\n        }\n        WriteAheadLogArm::WriteAheadLogLeaf => {\n            let extent_leaf = sum_f64(&extent_dirty);
M9_摊销分母取N加1	(fsync_total_bytes as f64 * interval_fsyncs as f64 + checkpoint_total_bytes as f64) / interval_fsyncs as f64	(fsync_total_bytes as f64 * interval_fsyncs as f64 + checkpoint_total_bytes as f64) / (interval_fsyncs as f64 + 1.0)
M12_散组不饱和直接返回触达数	expected_saturated_node_count * (1.0 - (1.0 - 1.0 / expected_saturated_node_count).powf(touch_count))	touch_count
M15_G23_1分子加超级块槽	+ self.root_slot_bytes\n    }	+ self.root_slot_bytes\n            + self.superblock_bytes\n    }
M19_环安全系数改成2	const RING_SAFETY_FACTOR_MAIN: u64 = 3;	const RING_SAFETY_FACTOR_MAIN: u64 = 2;
M10_一条记录容量改成71	const NAMED_ITEMS_PER_RECORD_MAIN: u64 = (RECORD_BYTES - RECORD_HEADER_BYTES) / NAMED_ITEM_BYTES;	const NAMED_ITEMS_PER_RECORD_MAIN: u64 = 71;
M17_Q3_1不计头H	let rounded = ((header as f64 + conditions_per_node * entry_width as f64) / pbs as f64).ceil() * pbs as f64;	let rounded = ((conditions_per_node * entry_width as f64) / pbs as f64).ceil() * pbs as f64;
M18_Q4_1不计单元头134	let fsync_data_unit_count = shape.family.data_units_per_fsync();\n    let rounded = (DATA_UNIT_HEADER_AND_TRAILER_BYTES + content_bytes).div_ceil(pbs) * pbs;	let fsync_data_unit_count = shape.family.data_units_per_fsync();\n    let rounded = content_bytes.div_ceil(pbs) * pbs;
M22_Q5_3用32768当一层的宽	let bytes_per_layer_growth_ratio = (tree_bytes_at_threshold as f64 - tree_bytes_before_threshold as f64) / (NODE_BYTES as f64 * DEVICE_COUNT as f64);\n        assert!((bytes_per_layer_growth_ratio - 1.0).abs() < 1e-9	let bytes_per_layer_growth_ratio = (tree_bytes_at_threshold as f64 - tree_bytes_before_threshold as f64) / (UNIT_BYTES as f64 * DEVICE_COUNT as f64);\n        assert!((bytes_per_layer_growth_ratio - 1.0).abs() < 1e-9
R2_M1_R1退回_分配记录不含数据单元	let release_backlog_units = previous_written_units + distinct_data_units_touched + extra_allocation_release_insertions;	let release_backlog_units = previous_written_units + extra_allocation_release_insertions;
R2_M2_R2退回_远的比例取q	            (PositionPolicy::Balanced, Placement::Random) => (1.0 - previous_touch_fraction).clamp(0.0, 1.0),	            (PositionPolicy::Balanced, Placement::Random) => previous_touch_fraction.min(1.0),
R2_M3_R3退回_数据单元按策略取远近	let far_fraction: f64 = if let Some((total_units, touched_units)) = data_unit_totals {	let far_fraction: f64 = if let Some((total_units, touched_units)) = None::<(f64, f64)> {
R2_M4_R4退回_数据新落点并进尾部	let data_new_placement_scattered = policy == PositionPolicy::Far && placement == Placement::Random && data_is_far;	let data_new_placement_scattered = false;
R2_M5_R6退回_rand间隔并集用独立散点	(saturated_node_count * (1.0 - (1.0 - nodes_touched_per_group / saturated_node_count).powf(group_count))).min(node_count_at_layer as f64)	(saturated_node_count * (1.0 - (1.0 - 1.0 / saturated_node_count).powf(group_count * group_size))).min(node_count_at_layer as f64)
R2_M6_K9prime不记中间版	IntermediateVersionPolicy::ReleasedAndBacklogged => intermediate_version_counts(shape, arm, interval_fsyncs, &core_zero.extent_layers, &core_zero.extent_dirty, &core_zero.inode_layers, &core_zero.inode_dirty, distinct_data_units_touched),	IntermediateVersionPolicy::ReleasedAndBacklogged => (0.0, 0.0, 0.0, 0.0),
R2_M7_中间版不减去去重后的单元数	let data_intermediate = (batch_count_in_interval * fsync_data_unit_count as f64 - dedup_data_units_touched).max(0.0);\n\n    let extent_intermediate_total: f64 = per_batch_extent.iter().zip(dedup_extent_dirty.iter()).map(|(&per_batch, &dedup)| (batch_count_in_interval * per_batch - dedup).max(0.0)).sum();\n\n    let inode_intermediate_total: f64 = match arm {\n        WriteAheadLogArm::WriteAheadLogFull => per_batch_inode.iter().zip(dedup_inode_dirty.iter()).map(|(&per_batch, &dedup)| (batch_count_in_interval * per_batch - dedup).max(0.0)).sum(),\n        WriteAheadLogArm::WriteAheadLogLeaf => {\n            if per_batch_inode.is_empty() {\n                0.0\n            } else {\n                (batch_count_in_interval * per_batch_inode[0] - dedup_inode_dirty[0]).max(0.0)\n            }\n        }\n    };	let data_intermediate = batch_count_in_interval * fsync_data_unit_count as f64;\n\n    let extent_intermediate_total: f64 = per_batch_extent.iter().map(|&per_batch| batch_count_in_interval * per_batch).sum();\n\n    let inode_intermediate_total: f64 = match arm {\n        WriteAheadLogArm::WriteAheadLogFull => per_batch_inode.iter().map(|&per_batch| batch_count_in_interval * per_batch).sum(),\n        WriteAheadLogArm::WriteAheadLogLeaf => {\n            if per_batch_inode.is_empty() {\n                0.0\n            } else {\n                batch_count_in_interval * per_batch_inode[0]\n            }\n        }\n    };
R2_M8_中间版漏掉数据单元	                (batch_count_in_interval * per_batch_inode[0] - dedup_inode_dirty[0]).max(0.0)\n            }\n        }\n    };\n\n    let total = data_intermediate + extent_intermediate_total + inode_intermediate_total;	                (batch_count_in_interval * per_batch_inode[0] - dedup_inode_dirty[0]).max(0.0)\n            }\n        }\n    };\n\n    let total = extent_intermediate_total + inode_intermediate_total;
