# E158 岔路单各臂对 crates/ 的改动：四列，制表符分隔——说明 <TAB> 文件 <TAB> 旧串 <TAB> 新串。
# 与 crates/mutations.tsv 不同：这里不是「改坏 crates/、看会不会被测出来」的变异，是「这一臂真正要跑的代码长什么样」，
# 在草稿目录里对整棵工作树 cp -a 出来的副本上逐条套用（不改主工作区），套用之后各自编译（跑前登记「装置写在哪」）。
# 旧串在副本文件里必须恰好命中一次（同 crates/mutations.tsv 的锚点纪律）；\n 表示换行。
A1（岔路单第 1 行候选 (a) 显式报告）：MountError 新增变体	crates/singlefs-core/src/mount.rs	pub enum MountError {\n    Recovery(RecoveryFailure),	pub enum MountError {\n    Recovery(RecoveryFailure),\n    /// E158 岔路单第 1 行候选 (a)：被抛弃根的账（树表或分配记录树）在 `rebuilt_allocator` 之后读不出，\n    /// 显式报告、不静默放行——拒绝这次可写挂载 / 回退，在 `establish_instance`（取号，第一次写）之前返回。\n    /// 只在 A1 副本上存在，`crates/` 今天没有这个变体（跑前登记 5.2 (a)）。\n    AbandonedRootLedgerUnreadable { count: u64 },
A1：mount_writable 在 rebuilt_allocator 之后、establish_instance 之前拒绝	crates/singlefs-core/src/mount.rs	    let RebuiltAllocator {\n        allocator,\n        effective_floor,\n        abandoned_roots_unreadable,\n    } = rebuilt?;\n    let previous_row = PreviousInstanceRow {\n        instance: effective_root.instance,\n        selected_root_txg: effective_root.checkpoint_txg,\n        applied_transaction_high_water: journal.maximum_applied_transaction,\n        is_rollback: false,\n    };	    let RebuiltAllocator {\n        allocator,\n        effective_floor,\n        abandoned_roots_unreadable,\n    } = rebuilt?;\n    if abandoned_roots_unreadable > 0 {\n        return Err(MountError::AbandonedRootLedgerUnreadable {\n            count: abandoned_roots_unreadable,\n        });\n    }\n    let previous_row = PreviousInstanceRow {\n        instance: effective_root.instance,\n        selected_root_txg: effective_root.checkpoint_txg,\n        applied_transaction_high_water: journal.maximum_applied_transaction,\n        is_rollback: false,\n    };
A1：mount_rollback 同一处拒绝	crates/singlefs-core/src/mount.rs	        shadow_ledger,\n    )?;\n    let previous_row = PreviousInstanceRow {\n        instance: target.instance,\n        selected_root_txg: target.checkpoint_txg,\n        applied_transaction_high_water: 0,\n        is_rollback: true,\n    };	        shadow_ledger,\n    )?;\n    if abandoned_roots_unreadable > 0 {\n        return Err(MountError::AbandonedRootLedgerUnreadable {\n            count: abandoned_roots_unreadable,\n        });\n    }\n    let previous_row = PreviousInstanceRow {\n        instance: target.instance,\n        selected_root_txg: target.checkpoint_txg,\n        applied_transaction_high_water: 0,\n        is_rollback: true,\n    };
A1（收尾，不改行为）：history.rs 的 mount_error_member 是穷尽 match，新增变体要有一支才编得过	crates/singlefs-harness/src/history.rs	        MountError::InstanceTableChainLongerThanOnePageUndecided { .. } => {\n            "InstanceTableChainLongerThanOnePageUndecided"\n        }\n    };	        MountError::InstanceTableChainLongerThanOnePageUndecided { .. } => {\n            "InstanceTableChainLongerThanOnePageUndecided"\n        }\n        MountError::AbandonedRootLedgerUnreadable { .. } => "AbandonedRootLedgerUnreadable",\n    };
A1（收尾，不改行为）：model_comparison.rs 的 refusal_reason_of_mount_error 同样穷尽 match，归模型没有理由的一档	crates/singlefs-harness/src/model_comparison.rs	        | MountError::InstanceGenerationChangedBeforeAcquisition { .. } => {\n            ObservedRefusalReason::Unexplained\n        }\n    }\n}	        | MountError::InstanceGenerationChangedBeforeAcquisition { .. }\n        | MountError::AbandonedRootLedgerUnreadable { .. } => {\n            ObservedRefusalReason::Unexplained\n        }\n    }\n}
A1（收尾，不改行为）：model_comparison.rs 的 reported_ceiling_of_mount_error 同样穷尽 match，归 None 一档	crates/singlefs-harness/src/model_comparison.rs	        | MountError::WarmUpAdmissionRefusedBeforeAcquisition { .. }\n        | MountError::InstanceTableChainLongerThanOnePageUndecided { .. } => None,\n    }\n}	        | MountError::WarmUpAdmissionRefusedBeforeAcquisition { .. }\n        | MountError::InstanceTableChainLongerThanOnePageUndecided { .. }\n        | MountError::AbandonedRootLedgerUnreadable { .. } => None,\n    }\n}
甲-txg（岔路单第 2 行 ①，C331 修法）：first_txg_of_new_instance 只取根环 txg，不看 journal 记录	crates/singlefs-core/src/mount.rs	/// 新实例的第一次发布的 checkpoint_txg = max(根环里全部根记录的 txg, 环里全部自证通过的记录的 checkpoint_txg) + 1\n/// （D23（journal 的角色与格式） 已定项 14 第 3 条）。\nfn first_txg_of_new_instance<Device: BlockDevice>(\n    devices: &[(DeviceIdentity, Device)],\n    system_configuration: &crate::system_configuration::SystemConfiguration,\n    records: &std::collections::BTreeMap<(InstanceGeneration, u64), crate::journal::JournalRecord>,\n) -> CheckpointTxg {\n    let highest_record_txg = records\n        .values()\n        .map(|record| record.checkpoint_txg)\n        .max()\n        .unwrap_or(CheckpointTxg(0));\n    let highest_ring_txg = highest_root_txg(\n        devices,\n        &system_configuration.immutable.region_devices,\n        &system_configuration.immutable.sizes,\n        &system_configuration.immutable.filesystem_identifier,\n    )\n    .unwrap_or(CheckpointTxg(0));\n    CheckpointTxg(highest_ring_txg.max(highest_record_txg).0 + 1)\n}	/// E158 岔路单第 2 行甲-txg 臂：只取根环里全部根记录的 txg，不看 journal 记录（跑前登记 5.3）。\n/// `records` 参数按调用方签名保留，故意不读（研究副本，不进主工作区）。\nfn first_txg_of_new_instance<Device: BlockDevice>(\n    devices: &[(DeviceIdentity, Device)],\n    system_configuration: &crate::system_configuration::SystemConfiguration,\n    _records: &std::collections::BTreeMap<(InstanceGeneration, u64), crate::journal::JournalRecord>,\n) -> CheckpointTxg {\n    let highest_ring_txg = highest_root_txg(\n        devices,\n        &system_configuration.immutable.region_devices,\n        &system_configuration.immutable.sizes,\n        &system_configuration.immutable.filesystem_identifier,\n    )\n    .unwrap_or(CheckpointTxg(0));\n    CheckpointTxg(highest_ring_txg.0 + 1)\n}
乙-只配置（岔路单第 2 行 ①，C331 修法）：系统配置字段表合计 481 → 489	crates/singlefs-format/src/lib.rs	/// 系统配置字段表合计（D22（单元原子性怎么合成） 已定项 9 / 已定项 15；2026-09-14 用户定案加四个字段）。format-const: SYSTEM_CONFIGURATION_BYTES\npub const SYSTEM_CONFIGURATION_BYTES: u64 = 481;	/// E158 岔路单第 2 行乙-只配置臂：加一个 `published_txg: u64`（8 字节），跑前登记 5.3。\n/// 原值 481（`crates/` 今天的字段表合计），研究副本，不进主工作区。\npub const SYSTEM_CONFIGURATION_BYTES: u64 = 489;
乙-只配置：SystemRuntimeQuantities 加 published_txg 字段	crates/singlefs-core/src/system_configuration.rs	#[derive(Clone, Copy, Debug, PartialEq, Eq)]\npub struct SystemRuntimeQuantities {\n    pub slot_generation: u64,\n    pub journal_tail: u64,\n    pub journal_instance: InstanceGeneration,\n}\n\nimpl SystemRuntimeQuantities {\n    /// 这一类在字段表里占的字节数：8 + 32 + 8 + 4。\n    pub const FIELD_TABLE_BYTES: u64 = 52;\n}	#[derive(Clone, Copy, Debug, PartialEq, Eq)]\npub struct SystemRuntimeQuantities {\n    pub slot_generation: u64,\n    pub journal_tail: u64,\n    pub journal_instance: InstanceGeneration,\n    /// E158 岔路单第 2 行乙-只配置臂新增（跑前登记 5.3）：紧接 journal 实例代号之后写，8 字节。\n    /// 取号写占位 0（`write_acquired_instance`）、轮换写刚落盘那条根的 checkpoint_txg\n    /// （`persist_the_root_then_rotate_the_system_configuration`）。研究副本，不进主工作区。\n    pub published_txg: u64,\n}\n\nimpl SystemRuntimeQuantities {\n    /// 这一类在字段表里占的字节数：8 + 32 + 8 + 4 + 8（乙-只配置新增的 `published_txg`）。\n    pub const FIELD_TABLE_BYTES: u64 = 60;\n}
乙-只配置：to_slot 写出 published_txg	crates/singlefs-core/src/system_configuration.rs	slot.write(SlotFieldMutability::RuntimeQuantity, |writer| {\n            writer.assert_position(TAIL_OFFSET, "journal tail");\n            writer.put_u64(self.quantities.journal_tail);\n            writer.put_u32(self.quantities.journal_instance.0);\n        });	slot.write(SlotFieldMutability::RuntimeQuantity, |writer| {\n            writer.assert_position(TAIL_OFFSET, "journal tail");\n            writer.put_u64(self.quantities.journal_tail);\n            writer.put_u32(self.quantities.journal_instance.0);\n            writer.put_u64(self.quantities.published_txg);\n        });
乙-只配置：parse_slot 读回 published_txg	crates/singlefs-core/src/system_configuration.rs	let mut tail_reader = ByteReader::at(bytes, usize::try_from(TAIL_OFFSET).expect("469"));\n        let journal_tail = tail_reader.get_u64();\n        let journal_instance = InstanceGeneration(tail_reader.get_u32());\n        Ok(Self {	let mut tail_reader = ByteReader::at(bytes, usize::try_from(TAIL_OFFSET).expect("469"));\n        let journal_tail = tail_reader.get_u64();\n        let journal_instance = InstanceGeneration(tail_reader.get_u32());\n        let published_txg = tail_reader.get_u64();\n        Ok(Self {
