M1_违例不减K	let publishes = (scan_seconds * publish_rate).floor() as i64;\n    (publishes - window_generations as i64).max(0) as u64	let publishes = (scan_seconds * publish_rate).floor() as i64;\n    let _ = window_generations;\n    publishes.max(0) as u64
M2_窗口不除发布率	fn window_seconds(window_generations: u64, publish_rate: f64) -> f64 {\n    window_generations as f64 / publish_rate\n}	fn window_seconds(window_generations: u64, publish_rate: f64) -> f64 {\n    let _ = publish_rate;\n    window_generations as f64\n}
M3_择根回退需求塌成一代	pricing: Pricing::Generations, required_generations: Some(2) }	pricing: Pricing::Generations, required_generations: Some(1) }
M4_模拟不判越界	if pinned_generation_age > window_generations {	if pinned_generation_age > 0 {
M5_空白当成零	source: "C88", pricing: Pricing::Blank, required_generations: None }	source: "C88", pricing: Pricing::Generations, required_generations: Some(0) }
M6_发布率换档	const PUBLISH_RATE: f64 = 2785.0;	const PUBLISH_RATE: f64 = 1000.0;
M7_scrub退回稻草人形状	Consumer { identifier: "c3_scrub_watermark", source: "D13-scrub", pricing: Pricing::Generations, required_generations: Some(0) }	Consumer { identifier: "c3_scrub_watermark", source: "D13-scrub", pricing: Pricing::WallClock, required_generations: None }
M8_管理员回退分类改掉	Consumer { identifier: "c8_admin_rollback", source: "D23-item14", pricing: Pricing::ExternalEvent, required_generations: None }	Consumer { identifier: "c8_admin_rollback", source: "D23-item14", pricing: Pricing::Generations, required_generations: None }
M9_遍历跳被漏列	Consumer { identifier: "c9_traversal_hop", source: "D4-parent-checksum", pricing: Pricing::WallClock, required_generations: None },	Consumer { identifier: "c9_traversal_hop", source: "D4-parent-checksum", pricing: Pricing::Blank, required_generations: None },
M10_冻结镜像消费者被当成有需求	Consumer { identifier: "c6_i48_frozen_image", source: "I-4.8", pricing: Pricing::Generations, required_generations: Some(0) }	Consumer { identifier: "c6_i48_frozen_image", source: "I-4.8", pricing: Pricing::Generations, required_generations: Some(3) }
M11_假候选数不减K	fn fake_rollback_candidates(ring_depth: u64, window_generations: u64) -> u64 {\n    ring_depth.saturating_sub(window_generations)\n}	fn fake_rollback_candidates(ring_depth: u64, window_generations: u64) -> u64 {\n    let _ = window_generations;\n    ring_depth\n}
M12_假候选恒零	fn fake_rollback_candidates(ring_depth: u64, window_generations: u64) -> u64 {\n    ring_depth.saturating_sub(window_generations)\n}	fn fake_rollback_candidates(ring_depth: u64, window_generations: u64) -> u64 {\n    let _ = (ring_depth, window_generations);\n    0\n}
M13_环深表漏掉最大那档	const RING_DEPTHS: [(u64, u64); 5] = [(1, 3), (2, 6), (4, 12), (8, 24), (16, 48)];	const RING_DEPTHS: [(u64, u64); 5] = [(1, 3), (2, 6), (4, 12), (8, 24), (16, 24)];
