M1_扇出少扣一次头	    (node_size_bytes - overhead) / entry_width_bytes	    node_size_bytes / entry_width_bytes
M2_覆盖判定多给一字节	            if capacity(segment.bytes) > upper_bound as u128 {	            if capacity(segment.bytes + 1) > upper_bound as u128 {
M3_逆序对数反了	            if encode(earlier_generation) > encode(later_generation) {	            if encode(earlier_generation) < encode(later_generation) {
M4_槽号编码没生效	    if by_slot_number {\n        return 0;\n    }	    if !by_slot_number {\n        return 0;\n    }
M5_寻址范围没乘粒度	        capacity_values.saturating_mul(grain as u128)	        capacity_values
M6_全空聚簇段数丢了设备维	    Statistic { per_device: true,  per_tree_narrow: false }, // 11 全空聚簇段数	    Statistic { per_device: false, per_tree_narrow: false }, // 11 全空聚簇段数
M7_树高不含叶层	    let mut height = 1u64;\n    let mut covered_entries = leaf_fanout as u128;	    let mut height = 0u64;\n    let mut covered_entries = leaf_fanout as u128;
M8_内部层没算进树字节	        total_node_count += level_node_count;	        total_node_count += 0;
M9_记账value宽度归零	const ACCOUNTING_VALUE_BYTES: u64 = 8;	const ACCOUNTING_VALUE_BYTES: u64 = 0;
M10_设备维没进条目数	            let device_factor = if statistic.per_device { device_count } else { 1 };	            let device_factor = 1;
M11_对齐步长写死为一	    let step = (grain / NODE_ALIGNMENT_BYTES).max(1);	    let step = 1u64;
M13_闭式漏掉尾巴项	    inversion_count += full_periods * tail;	    inversion_count += 0;
M14_段清单少一条要求	    Required { clause: "D8-wb3",   field: "seq",      present: false },	    Required { clause: "D8-wb3",   field: "seq",      present: true },
M15_脏叶按条目算不按组算	    let groups_per_leaf = (leaf_fanout / kept_generations).max(1);	    let groups_per_leaf = leaf_fanout.max(1);
M12_回绕期按5秒窗口不按发布率	    Some(modulus as u128 * 1000 / PUBLISHES_PER_SECOND as u128)	    Some(modulus as u128 * 5000)
M17_跨度段没进条目宽	    device_bytes + offset_bytes + span_bytes + generation_bytes	    device_bytes + offset_bytes + generation_bytes
M18_半单元判据退回按臂标签算	fn half_unit_representable(grain: u64) -> bool {\n    grain < DATA_UNIT_BYTES\n}	fn half_unit_representable(_grain: u64) -> bool {\n    false\n}
