# m2 释放=never；根槽写失败=None
# txg | 覆写的根 | 本次释放（单元角色@槽, 分配代→释放代） | 分配时可再分配界 | 持久后可再分配界 | 占着pre | 占着post | 候选集并集 | 全部自证根并集
4 | None | accounting_tree@50246(3→4), allocation_tree@50245(3→4), data@50180(3→4), extent_root@50240(3→4), inode_leaf@50242(3→4), inode_root@50244(3→4), mapping_tree@50247(3→4), tree_table@50248(3→4) | 0 | 0 | 23 | 23 | 23 | 23
5 | None | accounting_tree@50254(4→5), allocation_tree@50253(4→5), data@50182(4→5), extent_root@50249(4→5), inode_leaf@50250(4→5), inode_root@50252(4→5), mapping_tree@50255(4→5), tree_table@50256(4→5) | 0 | 0 | 33 | 33 | 33 | 33
24 | 0 | accounting_tree@50406(23→24), allocation_tree@50405(23→24), data@50220(23→24), extent_root@50401(23→24), inode_leaf@50402(23→24), inode_root@50404(23→24), mapping_tree@50407(23→24), tree_table@50408(23→24) | 0 | 1 | 223 | 223 | 223 | 223
25 | 1 | accounting_tree@50414(24→25), allocation_tree@50413(24→25), data@50222(24→25), extent_root@50409(24→25), inode_leaf@50410(24→25), inode_root@50412(24→25), mapping_tree@50415(24→25), tree_table@50416(24→25) | 1 | 2 | 233 | 233 | 233 | 233
26 | 2 | accounting_tree@50422(25→26), allocation_tree@50421(25→26), data@50224(25→26), extent_root@50417(25→26), inode_leaf@50418(25→26), inode_root@50420(25→26), mapping_tree@50423(25→26), tree_table@50424(25→26) | 2 | 3 | 243 | 243 | 242 | 242
27 | 3 | accounting_tree@50430(26→27), allocation_tree@50429(26→27), data@50226(26→27), extent_root@50425(26→27), inode_leaf@50426(26→27), inode_root@50428(26→27), mapping_tree@50431(26→27), tree_table@50432(26→27) | 3 | 4 | 253 | 243 | 242 | 242
28 | 4 | accounting_tree@50438(27→28), allocation_tree@50437(27→28), data@50228(27→28), extent_root@50433(27→28), inode_leaf@50434(27→28), inode_root@50436(27→28), mapping_tree@50439(27→28), tree_table@50440(27→28) | 4 | 5 | 253 | 243 | 242 | 242
# m2 释放=first_transaction；根槽写失败=None
# txg | 覆写的根 | 本次释放（单元角色@槽, 分配代→释放代） | 分配时可再分配界 | 持久后可再分配界 | 占着pre | 占着post | 候选集并集 | 全部自证根并集
24 | 0 | accounting_tree@50406(23→24), allocation_tree@50405(23→24), data@50220(23→24), extent_root@50401(23→24), inode_leaf@50402(23→24), inode_root@50404(23→24), mapping_tree@50407(23→24), tree_table@50408(23→24) | 0 | 1 | 223 | 223 | 223 | 223
25 | 1 | accounting_tree@50414(24→25), allocation_tree@50413(24→25), data@50222(24→25), extent_root@50409(24→25), inode_leaf@50410(24→25), inode_root@50412(24→25), mapping_tree@50415(24→25), tree_table@50416(24→25) | 1 | 2 | 233 | 233 | 233 | 233
26 | 2 | accounting_tree@50422(25→26), allocation_tree@50421(25→26), data@50224(25→26), extent_root@50417(25→26), inode_leaf@50418(25→26), inode_root@50420(25→26), mapping_tree@50423(25→26), tree_table@50424(25→26) | 2 | 3 | 243 | 242 | 242 | 242
27 | 3 | accounting_tree@50430(26→27), allocation_tree@50429(26→27), data@50226(26→27), extent_root@50425(26→27), inode_leaf@50426(26→27), inode_root@50428(26→27), mapping_tree@50431(26→27), tree_table@50432(26→27) | 3 | 4 | 252 | 242 | 242 | 242
28 | 4 | accounting_tree@50438(27→28), allocation_tree@50437(27→28), data@50178(27→28), extent_root@50433(27→28), inode_leaf@50434(27→28), inode_root@50436(27→28), mapping_tree@50439(27→28), tree_table@50440(27→28) | 4 | 5 | 252 | 242 | 242 | 242
# m2 释放=first_transaction；根槽写失败=30
# txg | 覆写的根 | 本次释放（单元角色@槽, 分配代→释放代） | 分配时可再分配界 | 持久后可再分配界 | 占着pre | 占着post | 候选集并集 | 全部自证根并集
29 | 5 | accounting_tree@50446(28→29), allocation_tree@50445(28→29), data@50180(28→29), extent_root@50441(28→29), inode_leaf@50442(28→29), inode_root@50444(28→29), mapping_tree@50447(28→29), tree_table@50448(28→29) | 5 | 6 | 252 | 242 | 242 | 242
30 | 写失败，槽里仍是 6 | （分配器退回，推进一格重发） | 6 | — | — | — | — | —
31 | 7 | accounting_tree@50454(29→31), allocation_tree@50453(29→31), data@50182(29→31), extent_root@50449(29→31), inode_leaf@50450(29→31), inode_root@50452(29→31), mapping_tree@50455(29→31), tree_table@50456(29→31) | 6 | 6 | 252 | 252 | 242 | 242
32 | 8 | accounting_tree@50462(31→32), allocation_tree@50461(31→32), data@50184(31→32), extent_root@50457(31→32), inode_leaf@50458(31→32), inode_root@50460(31→32), mapping_tree@50463(31→32), tree_table@50464(31→32) | 6 | 6 | 262 | 262 | 242 | 242
53 | 29 | accounting_tree@50694(52→53), allocation_tree@50693(52→53), data@50628(52→53), extent_root@50689(52→53), inode_leaf@50690(52→53), inode_root@50692(52→53), mapping_tree@50695(52→53), tree_table@50696(52→53) | 6 | 6 | 472 | 472 | 242 | 242
54 | 6 | accounting_tree@50702(53→54), allocation_tree@50701(53→54), data@50630(53→54), extent_root@50697(53→54), inode_leaf@50698(53→54), inode_root@50700(53→54), mapping_tree@50703(53→54), tree_table@50704(53→54) | 6 | 31 | 482 | 242 | 242 | 242
55 | 31 | accounting_tree@50710(54→55), allocation_tree@50709(54→55), data@50632(54→55), extent_root@50705(54→55), inode_leaf@50706(54→55), inode_root@50708(54→55), mapping_tree@50711(54→55), tree_table@50712(54→55) | 31 | 32 | 252 | 242 | 242 | 242
