== 仓里的 hook（sha256 fd42b1570d8332655e28071bd8913ac421974891794d3de7d56ee3e7baab77db）
| 编号 | run_in_background | hook 第三种记了没有 | hook 全部检出 | 外层 shell 退出（秒） | 各件活完成（秒） | 外层退出之后才完的活 | 判定 |
|---|---|---|---|---|---|---|---|
| X01 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=6.0 | gate | 记且脱钩（对） |
| X02 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=6.0 | gate | 记且脱钩（对） |
| X03 | True | 不记 | 无 | 0.0 | gate=6.0 | gate | 漏检 |
| X04 | True | 不记 | 无 | 2.0 | gate=6.0, keepalive=2.0 | gate | 漏检 |
| X05 | True | 不记 | 无 | 2.0 | gate=6.0, keepalive=2.0 | gate | 漏检 |
| X06 | True | 不记 | 无 | 0.0 | gate=6.0 | gate | 漏检 |
| X07 | True | 不记 | 无 | 0.0 | gate=6.0 | gate | 漏检 |
| X08 | True | 不记 | 无 | 0.0 | gate=6.0 | gate | 漏检 |
| X09 | True | 不记 | 无 | 0.0 | gate=6.0 | gate | 漏检 |
| X10 | True | 不记 | 无 | 0.0 | gate=6.0 | gate | 漏检 |
| X11 | True | 不记 | 无 | — | — | — | hook 不记；没真跑 |
| X12 | True | 不记 | 无 | 0.0 | gate=6.0 | gate | 漏检 |
| X13 | False | 不记 | 无 | 0.0 | gate=6.0 | gate | 漏检 |
| F01 | True | 记 | run_in_background 里又自己放后台 | 4.0 | gate=4.0 | 无 | 误检 |
| F02 | True | 记 | 没有 timeout 的等待循环；run_in_background 里又自己放后台 | 4.0 | gate=4.0 | 无 | 误检 |
| F03 | True | 记 | run_in_background 里又自己放后台 | 4.0 | gate=4.0 | 无 | 误检 |
| F04 | True | 记 | run_in_background 里又自己放后台 | 4.0 | gate=4.0 | 无 | 误检 |
| F05 | True | 记 | run_in_background 里又自己放后台 | 4.0 | gate=4.0 | 无 | 误检 |
| F06 | True | 记 | run_in_background 里又自己放后台 | 4.0 | gate=4.0 | 无 | 误检 |
| F07 | True | 记 | run_in_background 里又自己放后台 | 4.0 | gate=4.0 | 无 | 误检 |
| C01 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=4.0 | gate | 记且脱钩（对） |
| C02 | True | 不记 | 无 | 4.0 | gate=4.0 | 无 | 不记不脱钩（对） |
| C03 | True | 不记 | 无 | 4.0 | a=4.0, b=4.0, c=4.0 | 无 | 不记不脱钩（对） |
| C04 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=4.0 | gate | 记且脱钩（对） |
| C05 | True | 不记 | 无 | 4.0 | gate=4.0, keepalive=2.0 | 无 | 不记不脱钩（对） |
| C06 | True | 不记 | 无 | 4.0 | gate=4.0 | 无 | 不记不脱钩（对） |
| C07 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=4.0 | gate | 记且脱钩（对） |
| C08 | True | 不记 | 无 | 4.0 | gate=4.0 | 无 | 不记不脱钩（对） |
| C09 | True | 不记 | 无 | 4.0 | gate=4.0 | 无 | 不记不脱钩（对） |
| C10 | True | 不记 | 无 | 4.0 | gate=4.0 | 无 | 不记不脱钩（对） |
| C11 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=4.0 | gate | 记且脱钩（对） |
| C12 | True | 不记 | 无 | 4.0 | a=4.0, b=4.0, c=4.0 | 无 | 不记不脱钩（对） |
| C13 | True | 不记 | 无 | 6.0 | gate=6.0, keepalive=2.0 | 无 | 不记不脱钩（对） |

== 变体 hook-variant.sh（sha256 ed53ee0ffccfeed67e30483ad8c9b2ce58959399488b81524dd550304c3a8e9e；本腿提的改法，被攻过零轮）
| 编号 | run_in_background | hook 第三种记了没有 | hook 全部检出 | 外层 shell 退出（秒） | 各件活完成（秒） | 外层退出之后才完的活 | 判定 |
|---|---|---|---|---|---|---|---|
| X01 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=6.0 | gate | 记且脱钩（对） |
| X02 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=6.0 | gate | 记且脱钩（对） |
| X03 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=6.0 | gate | 记且脱钩（对） |
| X04 | True | 记 | run_in_background 里又自己放后台 | 2.0 | gate=6.0, keepalive=2.0 | gate | 记且脱钩（对） |
| X05 | True | 记 | run_in_background 里又自己放后台 | 2.0 | gate=6.0, keepalive=2.0 | gate | 记且脱钩（对） |
| X06 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=6.0 | gate | 记且脱钩（对） |
| X07 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=6.0 | gate | 记且脱钩（对） |
| X08 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=6.0 | gate | 记且脱钩（对） |
| X09 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=6.0 | gate | 记且脱钩（对） |
| X10 | True | 记 | run_in_background 里又自己放后台 | 0.0 | gate=6.0 | gate | 记且脱钩（对） |
