## L0 (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
|---|---|---|---|---|---|---|---|
| TRUTH6 | 14550 | 0 | 1134 | 0 | 0 | 0 | 0 |
| DING | 14550 | 1134 | 0 | 1134 | 0 | 0 | 0 |
| DING_DROPLAST | 14550 | 1534 | 2668 | 0 | 0 | 0 | 0 |
| YI | 14550 | 1134 | 0 | 1134 | 0 | 0 | 0 |
| BING_R1 | 14550 | 1134 | 0 | 1134 | 0 | 0 | 0 |
| T1_STRICT | 14550 | 1134 | 0 | 1134 | 0 | 0 | 0 |
| T1_OPT | 14550 | 2430 | 1296 | 1944 | 0 | 0 | 0 |
| T1_TX_STRICT | 14550 | 1134 | 0 | 1134 | 0 | 0 | 0 |
| T1_TX_OPT | 14550 | 1926 | 792 | 1611 | 0 | 0 | 0 |
| FP_LAST | 14550 | 0 | 1134 | 0 | 0 | 0 | 0 |
| IDX | 14550 | 1134 | 0 | 1134 | 0 | 0 | 0 |
| IDXN | 14550 | 0 | 1134 | 0 | 0 | 0 | 0 |
| WALK | 14550 | 486 | 1620 | 0 | 0 | 0 | 0 |
| CUR_IMPL | 14550 | 2992 | 1858 | 1944 | 0 | 0 | 0 |

## LONG (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
|---|---|---|---|---|---|---|---|
| TRUTH6 | 845 | 0 | 36 | 0 | 0 | 0 | 0 |
| DING | 845 | 36 | 0 | 36 | 0 | 0 | 0 |
| DING_DROPLAST | 845 | 123 | 159 | 0 | 0 | 0 | 0 |
| YI | 845 | 36 | 0 | 36 | 0 | 0 | 0 |
| BING_R1 | 845 | 36 | 0 | 36 | 0 | 0 | 0 |
| T1_STRICT | 845 | 36 | 0 | 36 | 0 | 0 | 0 |
| T1_OPT | 845 | 75 | 39 | 71 | 0 | 0 | 0 |
| T1_TX_STRICT | 845 | 36 | 0 | 36 | 0 | 0 | 0 |
| T1_TX_OPT | 845 | 67 | 31 | 63 | 0 | 0 | 0 |
| FP_LAST | 845 | 0 | 36 | 0 | 0 | 0 | 0 |
| IDX | 845 | 36 | 0 | 36 | 0 | 0 | 0 |
| IDXN | 845 | 0 | 36 | 0 | 0 | 0 | 0 |
| WALK | 845 | 4 | 40 | 0 | 0 | 0 | 0 |
| CUR_IMPL | 845 | 94 | 58 | 71 | 0 | 0 | 0 |

## L1-ring (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
|---|---|---|---|---|---|---|---|
| TRUTH6 | 4347 | 0 | 428 | 0 | 0 | 0 | 0 |
| DING | 4347 | 428 | 0 | 428 | 0 | 0 | 0 |
| DING_DROPLAST | 4347 | 365 | 793 | 0 | 0 | 0 | 0 |
| YI | 4347 | 428 | 0 | 428 | 0 | 0 | 0 |
