# w2_count ignore_cover=false split_pays_no_fixed_point=false
# c_E	u	phase(txg mod 3)	k(推几次落满两块盘)	f 取值区间	卡在第一次（写之前）	写了之后卡住	抬 F 做完	拆开后第一份做得成	拆开后不回收就做完
4	0	0	2	[0,4)	4	0	0	0	0
4	0	1	2	[0,4)	4	0	0	0	0
4	0	2	3	[0,4)	4	0	0	0	0
4	6	0	2	[0,10)	4	4	2	5	0
4	6	1	2	[0,10)	4	4	2	5	0
4	6	2	3	[0,10)	4	6	0	5	0
5	0	0	2	[0,5)	5	0	0	0	0
5	0	1	2	[0,5)	5	0	0	0	0
5	0	2	3	[0,5)	5	0	0	0	0
5	6	0	2	[0,11)	5	5	1	5	0
5	6	1	2	[0,11)	5	5	1	5	0
5	6	2	3	[0,11)	5	6	0	5	0
6	0	0	2	[0,6)	6	0	0	0	0
6	0	1	2	[0,6)	6	0	0	0	0
6	0	2	3	[0,6)	6	0	0	0	0
6	6	0	2	[0,12)	6	6	0	5	0
6	6	1	2	[0,12)	6	6	0	5	0
6	6	2	3	[0,12)	6	6	0	5	0
7	0	0	2	[0,7)	7	0	0	0	0
7	0	1	2	[0,7)	7	0	0	0	0
7	0	2	3	[0,7)	7	0	0	0	0
7	6	0	2	[0,13)	7	6	0	5	0
7	6	1	2	[0,13)	7	6	0	5	0
7	6	2	3	[0,13)	7	6	0	5	0
8	0	0	2	[0,8)	8	0	0	0	0
8	0	1	2	[0,8)	8	0	0	0	0
8	0	2	3	[0,8)	8	0	0	0	0
8	6	0	2	[0,14)	8	6	0	5	0
8	6	1	2	[0,14)	8	6	0	5	0
8	6	2	3	[0,14)	8	6	0	5	0
10	0	0	2	[0,10)	10	0	0	0	0
10	0	1	2	[0,10)	10	0	0	0	0
10	0	2	3	[0,10)	10	0	0	0	0
10	6	0	2	[0,16)	10	6	0	5	0
10	6	1	2	[0,16)	10	6	0	5	0
10	6	2	3	[0,16)	10	6	0	5	0
12	0	0	2	[0,12)	12	0	0	0	0
12	0	1	2	[0,12)	12	0	0	0	0
12	0	2	3	[0,12)	12	0	0	0	0
12	6	0	2	[0,18)	12	6	0	5	0
12	6	1	2	[0,18)	12	6	0	5	0
12	6	2	3	[0,18)	12	6	0	5	0
# 断言全过
# 合计	卡在第一次=312	写了之后卡住=120	抬 F 做完=6	拆开第一份做得成=105	拆开不回收做完=0
