C364SCANSUM rows=256 enospc=24
| R 外空洞对数 | R 内索引节点 | R 内用户单元 | 格数 | 完成那一刻 occ 差 ≥ 1（S甲 在 AC+occ 下判有产出） | 完成那一刻 rec 差 ≥ 1 | S丙 在 occ 下 (a) | S丙 在 rec 下 (a) | 之后 horizon 里 occ 差曾 ≥ 1 | 对照（不整理）occ 差区间 |
|---|---|---|---|---|---|---|---|---|---|
| 0 | 0 | 8 | 16 | 0 | 0 | 16 | 16 | 0 | [('-2', '0')] |
| 0 | 0 | 24 | 16 | 0 | 0 | 16 | 16 | 0 | [('-2', '0')] |
| 0 | 8 | 0 | 16 | 0 | 9 | 16 | 7 | 5 | [('-2', '0')] |
| 0 | 8 | 8 | 16 | 0 | 0 | 16 | 16 | 0 | [('-2', '0')] |
| 0 | 8 | 24 | 16 | 0 | 0 | 16 | 16 | 0 | [('-2', '0')] |
| 0 | 16 | 0 | 16 | 0 | 3 | 16 | 13 | 3 | [('-2', '0')] |
| 0 | 16 | 8 | 16 | 0 | 0 | 16 | 16 | 0 | [('-2', '0')] |
| 0 | 16 | 24 | 16 | 0 | 0 | 16 | 16 | 0 | [('-2', '0')] |
| 16 | 0 | 8 | 16 | 0 | 11 | 16 | 5 | 7 | [('-2', '0')] |
| 16 | 0 | 24 | 16 | 0 | 0 | 16 | 16 | 0 | [('-2', '0')] |
| 16 | 8 | 0 | 16 | 0 | 9 | 16 | 7 | 5 | [('-2', '0')] |
| 16 | 8 | 8 | 16 | 0 | 3 | 16 | 13 | 3 | [('-2', '0')] |
| 16 | 8 | 24 | 16 | 0 | 0 | 16 | 16 | 0 | [('-2', '0')] |
| 16 | 16 | 0 | 16 | 0 | 3 | 16 | 13 | 3 | [('-2', '0')] |
| 16 | 16 | 8 | 16 | 0 | 3 | 16 | 13 | 3 | [('-2', '0')] |
| 16 | 16 | 24 | 16 | 0 | 0 | 16 | 16 | 0 | [('-2', '0')] |
| 合计 | | | 256 | 0 | 41 | 256 | 215 | 29 | |
