环从 S 缩到 S'，水位之上 depth 条还没重放；断号即止之后真能施加几条
| 旧环 | 新环 | 在飞深度 | 取样点 | 施加 0 条的取样点 | 全部施加的取样点 | 施加条数均值 | 解析：施加 0 条的残差比例 | 解析：全部施加的残差比例 |
|---|---|---|---|---|---|---|---|---|
| 768 MiB（196608 槽） | 64 MiB（16384 槽） | 1 | 512 | 469 | 43 | 0.08 | 0.9167 | 0.0833 |
| 768 MiB（196608 槽） | 64 MiB（16384 槽） | 4 | 512 | 469 | 43 | 0.34 | 0.9167 | 0.0833 |
| 768 MiB（196608 槽） | 64 MiB（16384 槽） | 16 | 512 | 469 | 43 | 1.34 | 0.9167 | 0.0833 |
| 768 MiB（196608 槽） | 256 MiB（65536 槽） | 1 | 512 | 341 | 171 | 0.33 | 0.6667 | 0.3333 |
| 768 MiB（196608 槽） | 256 MiB（65536 槽） | 4 | 512 | 341 | 171 | 1.34 | 0.6667 | 0.3333 |
| 768 MiB（196608 槽） | 256 MiB（65536 槽） | 16 | 512 | 341 | 171 | 5.34 | 0.6667 | 0.3333 |
| 768 MiB（196608 槽） | 384 MiB（98304 槽） | 1 | 512 | 256 | 256 | 0.50 | 0.5000 | 0.5000 |
| 768 MiB（196608 槽） | 384 MiB（98304 槽） | 4 | 512 | 256 | 256 | 2.00 | 0.5000 | 0.5000 |
| 768 MiB（196608 槽） | 384 MiB（98304 槽） | 16 | 512 | 256 | 256 | 8.00 | 0.5000 | 0.4999 |
| 768 MiB（196608 槽） | 767 MiB（196352 槽） | 1 | 512 | 0 | 512 | 1.00 | 0.0013 | 0.9987 |
| 768 MiB（196608 槽） | 767 MiB（196352 槽） | 4 | 512 | 0 | 512 | 4.00 | 0.0013 | 0.9987 |
| 768 MiB（196608 槽） | 767 MiB（196352 槽） | 16 | 512 | 0 | 512 | 16.00 | 0.0013 | 0.9986 |
| 256 MiB（65536 槽） | 64 MiB（16384 槽） | 1 | 512 | 384 | 128 | 0.25 | 0.7500 | 0.2500 |
| 256 MiB（65536 槽） | 64 MiB（16384 槽） | 4 | 512 | 384 | 128 | 1.00 | 0.7500 | 0.2500 |
| 256 MiB（65536 槽） | 64 MiB（16384 槽） | 16 | 512 | 384 | 128 | 4.00 | 0.7500 | 0.2498 |
| 64 MiB（16384 槽） | 0.01171875 MiB（3 槽） | 1 | 512 | 511 | 1 | 0.00 | 0.9998 | 0.0002 |
| 64 MiB（16384 槽） | 0.01171875 MiB（3 槽） | 4 | 512 | 511 | 0 | 0.00 | 0.9998 | 0.0000 |
| 64 MiB（16384 槽） | 0.01171875 MiB（3 槽） | 16 | 512 | 511 | 0 | 0.00 | 0.9998 | 0.0000 |
