现场：research/results/e142-first-txn-dry-run-2026-09-23-decisions-catchup.out；第八节点名的 .rs 4 份；输入的 sha256：
  1a19966618db859e976a23d935d48b4d8c70c302493b58d53428272593b8b632  .claude/kb/layout/01-first-txn.md
  4675ffb17c6ca72c2b2c70cd2f3bc6b4b321a573d1f989e48e6a9094d46e7b9d  research/results/e142-first-txn-dry-run-2026-09-23-decisions-catchup.out
  5122b1135de7031bb497120523ada5f6277b723f27f87b51cdba69ab3c2b48a1  crates/singlefs-core/src/transaction.rs
  8a299efcfbbb1fb8e340c07a849a91fa77cef31e7deed84500e651c8805fa9e0  crates/singlefs-harness/tests/first_transaction_step_one_mkfs.rs
  2a0bdb89d14ab61291761068d05044281701d5c275f25fa1a847d613f46549e5  crates/singlefs-harness/tests/second_transaction_step_three_formatted_pool_layer0.rs
  5fda7c0492f7fade48a22f3e249706a542925b51381afebd9d60630b140cae8f  crates/singlefs-harness/tests/second_transaction_step_zero_layer0.rs
  ef71ed03bccc9a658a86332a5cb8482346941a08a25a71d60a5bf702a9c40dec  research/scripts/check-segment-registry.py
  674b3d9de7db9fb54829a909a368cebde4281c29ede4b6562bc826d6135def26  .claude/gate.d/52-segment-registry.sh

变异                               | 47 号 --selftest | 52 号样本自检（判错几条） | 埋错（原脚本 52 号 → 变异后 52 号）
无                                  | 退 0 | 退 0（0 条）| 「无」：0 → 0
M1 产物行不比种类（第二轮，对照） | 退 0 | 退 1（2 条）| 「取号行种类」：1 → 0
N1 整条流不比状态数          | 退 0 | 退 0（0 条）| 「整条流状态数」：1 → 0
N2 第二条流不核用例里的数组 | 退 0 | 退 0（0 条）| 「第二条流两段对调」：1 → 0
N3 第二条流不核写数          | 退 0 | 退 0（0 条）| 「第二条流写数」：1 → 0
N4 第二条流不核用例里的状态数 | 退 0 | 退 0（0 条）| 「用例丢了状态数」：1 → 0
N5 钉活代码的用例文件不在就放过 | 退 0 | 退 0（0 条）| 「钉 mkfs 的用例搬走」：1 → 0
N6 用例里找不到函数就放过 | 退 0 | 退 0（0 条）| 「钉 mkfs 的用例函数改名」：1 → 0
N7 出处既无 path 也无用例就放过 | 退 0 | 退 0（0 条）| 「mkfs 行出处丢了用例」：1 → 0
N8 不是预想却没有段序列就放过 | 退 0 | 退 0（0 条）| 「取号行段序列丢了反引号」：1 → 0
N9 产物行没有 kinds 就放过   | 退 0 | 退 0（0 条）| 「产物取号行没有 kinds」：1 → 0
N10 声明路径剩不下恰好一条也照认第一条 | 退 0 | 退 0（0 条）| 「声明多出一条路径」：1 → 0
