fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFFFO	O:ok F:noop F:noop F:noop F:noop F:noop O:ok	ok	same	-	[2, 0]	2	0	[0, 0]	24	524288	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFFFF	O:ok F:noop F:noop F:noop F:noop F:noop F:noop	ok	same	-	[2, 0]	2	0	[0, 0]	12	262144	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFFOF	O:ok F:noop F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1)	ok	same	-	[2, 0]	2	0	[0, 0]	32	655360	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFFOM	O:ok F:noop F:noop F:noop F:noop O:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	32	655360	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFFFM	O:ok F:noop F:noop F:noop F:noop F:noop M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	24	458752	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFFMO	O:ok F:noop F:noop F:noop F:noop M:ok O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	36	720896	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFFMF	O:ok F:noop F:noop F:noop F:noop M:ok F:noop	ok	same	-	[0, 0]	2	0	[0, 0]	24	458752	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFFMM	O:ok F:noop F:noop F:noop F:noop M:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	36	655360	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFFOO	O:ok F:noop F:noop F:noop F:noop O:ok O:ok	ok	same	-	[2, 0]	2	0	[0, 0]	36	786432	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFMFF	O:ok F:noop F:noop F:noop M:ok F:noop F:noop	ok	same	-	[0, 0]	2	0	[0, 0]	24	458752	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFMFO	O:ok F:noop F:noop F:noop M:ok F:noop O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	36	720896	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFMFM	O:ok F:noop F:noop F:noop M:ok F:noop M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	36	655360	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFMMF	O:ok F:noop F:noop F:noop M:ok M:ok F:noop	ok	same	-	[0, 0]	2	0	[0, 0]	36	655360	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFMMO	O:ok F:noop F:noop F:noop M:ok M:ok O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	48	917504	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFMMM	O:ok F:noop F:noop F:noop M:ok M:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	48	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFMOF	O:ok F:noop F:noop F:noop M:ok O:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	2	0	[0, 0]	44	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFMOM	O:ok F:noop F:noop F:noop M:ok O:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	44	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFMOO	O:ok F:noop F:noop F:noop M:ok O:ok O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	48	983040	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFOFO	O:ok F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1) O:ok	ok	same	-	[2, 0]	2	0	[0, 0]	44	917504	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFOFF	O:ok F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1) F:noop	ok	same	-	[2, 0]	2	0	[0, 0]	32	655360	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFOMF	O:ok F:noop F:noop F:noop O:ok M:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	2	0	[0, 0]	44	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFOFM	O:ok F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1) M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	44	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFOOF	O:ok F:noop F:noop F:noop O:ok O:ok F:ok(F=6,reclaimed=18)	ok	same	-	[2, 0]	2	0	[0, 0]	44	917504	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFOMO	O:ok F:noop F:noop F:noop O:ok M:ok O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	44	917504	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFOOO	O:ok F:noop F:noop F:noop O:ok O:ok O:ok	ok	same	-	[2, 0]	2	0	[0, 0]	48	1048576	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFOOM	O:ok F:noop F:noop F:noop O:ok O:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	44	917504	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMFFF	O:ok F:noop F:noop M:ok F:noop F:noop F:noop	ok	same	-	[0, 0]	2	0	[0, 0]	24	458752	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFFOMM	O:ok F:noop F:noop F:noop O:ok M:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	44	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMFFM	O:ok F:noop F:noop M:ok F:noop F:noop M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	36	655360	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMFFO	O:ok F:noop F:noop M:ok F:noop F:noop O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	36	720896	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMFOF	O:ok F:noop F:noop M:ok F:noop O:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	2	0	[0, 0]	44	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMFMO	O:ok F:noop F:noop M:ok F:noop M:ok O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	48	917504	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMFMF	O:ok F:noop F:noop M:ok F:noop M:ok F:noop	ok	same	-	[0, 0]	2	0	[0, 0]	36	655360	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMFMM	O:ok F:noop F:noop M:ok F:noop M:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	48	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMFOM	O:ok F:noop F:noop M:ok F:noop O:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	44	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMFOO	O:ok F:noop F:noop M:ok F:noop O:ok O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	48	983040	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMMFO	O:ok F:noop F:noop M:ok M:ok F:noop O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	48	917504	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMMFF	O:ok F:noop F:noop M:ok M:ok F:noop F:noop	ok	same	-	[0, 0]	2	0	[0, 0]	36	655360	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMMFM	O:ok F:noop F:noop M:ok M:ok F:noop M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	48	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMMMO	O:ok F:noop F:noop M:ok M:ok M:ok O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	60	1114112	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMMMF	O:ok F:noop F:noop M:ok M:ok M:ok F:noop	ok	same	-	[0, 0]	2	0	[0, 0]	48	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMMOO	O:ok F:noop F:noop M:ok M:ok O:ok O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	60	1179648	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMMMM	O:ok F:noop F:noop M:ok M:ok M:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	60	1048576	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMOFF	O:ok F:noop F:noop M:ok O:ok F:ok(F=3,reclaimed=1) F:noop	ok	same	-	[0, 0]	2	0	[0, 0]	44	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMMOF	O:ok F:noop F:noop M:ok M:ok O:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	2	0	[0, 0]	56	1048576	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMMOM	O:ok F:noop F:noop M:ok M:ok O:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	56	1048576	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMOFM	O:ok F:noop F:noop M:ok O:ok F:ok(F=3,reclaimed=1) M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	56	1048576	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMOFO	O:ok F:noop F:noop M:ok O:ok F:ok(F=3,reclaimed=1) O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	56	1114112	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMOMF	O:ok F:noop F:noop M:ok O:ok M:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	2	0	[0, 0]	56	1048576	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMOOF	O:ok F:noop F:noop M:ok O:ok O:ok F:ok(F=6,reclaimed=18)	ok	same	-	[0, 0]	2	0	[0, 0]	56	1114112	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFOFFF	O:ok F:noop F:noop O:ok F:ok(F=3,reclaimed=1) F:noop F:noop	ok	same	-	[2, 0]	2	0	[0, 0]	32	655360	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMOMO	O:ok F:noop F:noop M:ok O:ok M:ok O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	56	1114112	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFOFFM	O:ok F:noop F:noop O:ok F:ok(F=3,reclaimed=1) F:noop M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	44	851968	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFOFFO	O:ok F:noop F:noop O:ok F:ok(F=3,reclaimed=1) F:noop O:ok	ok	same	-	[2, 0]	2	0	[0, 0]	44	917504	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMOMM	O:ok F:noop F:noop M:ok O:ok M:ok M:ok	ok	same	-	[0, 0]	2	0	[0, 0]	56	1048576	0	1	t1@50182:released-and-isolated
F3-latent-eio-dev0	N1A-every-isoBad-mem	OFFMOOO	O:ok F:noop F:noop M:ok O:ok O:ok O:ok	ok	same	-	[0, 0]	2	0	[0, 0]	60	1245184	0	1	t1@50182:released-and-isolated
