fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F4-rot-both	N3-iso-persisted	OFFFFFF	O:ok F:noop F:noop F:noop F:noop F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	7	163840	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFFFO	O:ok F:noop F:noop F:noop F:noop F:noop O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	13	294912	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFFFM	O:ok F:noop F:noop F:noop F:noop F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	13	262144	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFFMF	O:ok F:noop F:noop F:noop F:noop M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	13	262144	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFFOF	O:ok F:noop F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1)	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	17	360448	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFFMO	O:ok F:noop F:noop F:noop F:noop M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	19	393216	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFFOM	O:ok F:noop F:noop F:noop F:noop O:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	17	360448	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFFMM	O:ok F:noop F:noop F:noop F:noop M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	19	360448	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFFOO	O:ok F:noop F:noop F:noop F:noop O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	19	425984	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFMFF	O:ok F:noop F:noop F:noop M:ok F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	13	262144	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFMFO	O:ok F:noop F:noop F:noop M:ok F:noop O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	19	393216	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFMFM	O:ok F:noop F:noop F:noop M:ok F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	19	360448	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFMMF	O:ok F:noop F:noop F:noop M:ok M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	19	360448	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFMOF	O:ok F:noop F:noop F:noop M:ok O:ok F:ok(F=3,reclaimed=1)	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	23	458752	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFMMO	O:ok F:noop F:noop F:noop M:ok M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	25	491520	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFMMM	O:ok F:noop F:noop F:noop M:ok M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	25	458752	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFOFF	O:ok F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1) F:noop	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	17	360448	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFMOM	O:ok F:noop F:noop F:noop M:ok O:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	23	458752	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFMOO	O:ok F:noop F:noop F:noop M:ok O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	25	524288	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFOFM	O:ok F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1) M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	23	458752	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFOFO	O:ok F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1) O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	23	491520	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFOMF	O:ok F:noop F:noop F:noop O:ok M:ok F:ok(F=3,reclaimed=1)	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	23	458752	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFOMO	O:ok F:noop F:noop F:noop O:ok M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	23	491520	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFOMM	O:ok F:noop F:noop F:noop O:ok M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	23	458752	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFOOF	O:ok F:noop F:noop F:noop O:ok O:ok F:ok(F=6,reclaimed=18)	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	23	491520	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFOOO	O:ok F:noop F:noop F:noop O:ok O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	25	557056	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFFOOM	O:ok F:noop F:noop F:noop O:ok O:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	23	491520	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFMFFF	O:ok F:noop F:noop M:ok F:noop F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	13	262144	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-persisted	OFFMFFM	O:ok F:noop F:noop M:ok F:noop F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	19	360448	0	0	t1@50182:released-and-isolated
