fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F4-rot-both	N3-iso-recompute	OFFFFFF	O:ok F:noop F:noop F:noop F:noop F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	7	163840	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-recompute	OFFFFFO	O:ok F:noop F:noop F:noop F:noop F:noop O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	13	294912	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-recompute	OFFFFMF	O:ok F:noop F:noop F:noop F:noop M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	13	262144	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-recompute	OFFFFFM	O:ok F:noop F:noop F:noop F:noop F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	13	262144	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-recompute	OFFFFOF	O:ok F:noop F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1)	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	17	360448	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-recompute	OFFFFMO	O:ok F:noop F:noop F:noop F:noop M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	19	393216	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-recompute	OFFFFOM	O:ok F:noop F:noop F:noop F:noop O:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	17	360448	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-recompute	OFFFFMM	O:ok F:noop F:noop F:noop F:noop M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	19	360448	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-recompute	OFFFFOO	O:ok F:noop F:noop F:noop F:noop O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[2, 2]	4	0	[0, 0]	19	425984	0	0	t1@50182:released-and-isolated
F4-rot-both	N3-iso-recompute	OFFFMFF	O:ok F:noop F:noop F:noop M:ok F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	4	0	[0, 0]	13	262144	0	0	t1@50182:released-and-isolated
