fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFFFF	O:ok F:noop F:noop F:noop F:noop F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFFMF	O:ok F:noop F:noop F:noop F:noop M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	13	262144	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFFFO	O:ok F:noop F:noop F:noop F:noop F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	13	294912	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFFFM	O:ok F:noop F:noop F:noop F:noop F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	13	262144	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFFOF	O:ok F:noop F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	0	0	[0, 0]	17	360448	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFFMM	O:ok F:noop F:noop F:noop F:noop M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	19	360448	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFFMO	O:ok F:noop F:noop F:noop F:noop M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	19	393216	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFFOM	O:ok F:noop F:noop F:noop F:noop O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	17	360448	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFFOO	O:ok F:noop F:noop F:noop F:noop O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	19	425984	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFMFF	O:ok F:noop F:noop F:noop M:ok F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	13	262144	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFMFM	O:ok F:noop F:noop F:noop M:ok F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	19	360448	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFMFO	O:ok F:noop F:noop F:noop M:ok F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	19	393216	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFMMF	O:ok F:noop F:noop F:noop M:ok M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	19	360448	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFMMM	O:ok F:noop F:noop F:noop M:ok M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	25	458752	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFMOO	O:ok F:noop F:noop F:noop M:ok O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	25	524288	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFMOF	O:ok F:noop F:noop F:noop M:ok O:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	0	0	[0, 0]	23	458752	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFMOM	O:ok F:noop F:noop F:noop M:ok O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	23	458752	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFMMO	O:ok F:noop F:noop F:noop M:ok M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	25	491520	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFOFF	O:ok F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1) F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	17	360448	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFOFO	O:ok F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	23	491520	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFOFM	O:ok F:noop F:noop F:noop O:ok F:ok(F=3,reclaimed=1) M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	23	458752	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFOMF	O:ok F:noop F:noop F:noop O:ok M:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	0	0	[0, 0]	23	458752	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFOOF	O:ok F:noop F:noop F:noop O:ok O:ok F:ok(F=6,reclaimed=18)	ok	same	-	[0, 0]	0	0	[0, 0]	23	491520	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFOOM	O:ok F:noop F:noop F:noop O:ok O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	23	491520	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFOMO	O:ok F:noop F:noop F:noop O:ok M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	23	491520	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFOMM	O:ok F:noop F:noop F:noop O:ok M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	23	458752	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFFOOO	O:ok F:noop F:noop F:noop O:ok O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	25	557056	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFMFFF	O:ok F:noop F:noop M:ok F:noop F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	13	262144	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFMFFO	O:ok F:noop F:noop M:ok F:noop F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	19	393216	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFMFFM	O:ok F:noop F:noop M:ok F:noop F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	19	360448	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFMFMF	O:ok F:noop F:noop M:ok F:noop M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	19	360448	0	0	t1@50304:record-kept-allocated
F6-map-bug-live-instance-table	N3-keep-allocated	OFFMFOF	O:ok F:noop F:noop M:ok F:noop O:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	0	0	[0, 0]	23	458752	0	0	t1@50304:record-kept-allocated
