fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FFFF	F:noop F:noop F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	0	0	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FFFM	F:noop F:noop F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	4	65536	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FFFO	F:noop F:noop F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FFMF	F:noop F:noop M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	4	65536	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FFMO	F:noop F:noop M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FFMM	F:noop F:noop M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FFOF	F:noop F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) F:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FFOO	F:noop F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) O:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FFOM	F:noop F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) M:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FMFF	F:noop M:ok F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	4	65536	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FMFM	F:noop M:ok F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FMFO	F:noop M:ok F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N1A-any-isoAll-mem	FMMF	F:noop M:ok M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
