fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FFFF	F:noop F:noop F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	0	0	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FFFM	F:noop F:noop F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	4	65536	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FFFO	F:noop F:noop F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FFMF	F:noop F:noop M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	4	65536	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FFMM	F:noop F:noop M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FFMO	F:noop F:noop M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FFOF	F:noop F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) F:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FFOM	F:noop F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) M:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FFOO	F:noop F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) O:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FMFF	F:noop M:ok F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	4	65536	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FMFM	F:noop M:ok F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FMFO	F:noop M:ok F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FMMF	F:noop M:ok M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FMMM	F:noop M:ok M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	229376	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FMOF	F:noop M:ok O:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FMMO	F:noop M:ok M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FMOO	F:noop M:ok O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	16	327680	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FMOM	F:noop M:ok O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FOFF	F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) F:skip(panicked) F:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FOFM	F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) F:skip(panicked) M:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FOFO	F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) F:skip(panicked) O:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FOMF	F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) M:skip(panicked) F:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FOMM	F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) M:skip(panicked) M:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
F7-map-bug-leaf-same-publish	N2-same-verdict-rebuild-tolerates-data	FOMO	F:noop O:PANIC(同一个落点释放了两次：这块盘的记录是不是已释放由 transaction::placements_to_release_via_mappin) M:skip(panicked) O:skip(panicked)	skip	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:released-and-isolated
