fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events	reuse_steps	rebuild_mapping_mismatch	writes_refused
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FFOF	F:ok(F=6,reclaimed=18) F:noop O:ok F:ok(F=7,reclaimed=6)	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	14	262144	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FFFF	F:ok(F=6,reclaimed=18) F:noop F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	4	65536	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FFFO	F:ok(F=6,reclaimed=18) F:noop F:noop O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	10	196608	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FFMM	F:ok(F=6,reclaimed=18) F:noop M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	14	229376	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FFMF	F:ok(F=6,reclaimed=18) F:noop M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	8	131072	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FFMO	F:ok(F=6,reclaimed=18) F:noop M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	14	262144	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FFOM	F:ok(F=6,reclaimed=18) F:noop O:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	14	262144	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FFFM	F:ok(F=6,reclaimed=18) F:noop F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	8	131072	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FFOO	F:ok(F=6,reclaimed=18) F:noop O:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	16	327680	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FMFF	F:ok(F=6,reclaimed=18) M:ok F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	8	131072	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FMFO	F:ok(F=6,reclaimed=18) M:ok F:noop O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	14	262144	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N2-rebuild-checks-mapping-refuses	FMMF	F:ok(F=6,reclaimed=18) M:ok M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	14	229376	0	0	-	[]	0	0
