fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events	reuse_steps	rebuild_mapping_mismatch	writes_refused
F10-writer-bug-disk-carried-leaf	N3-iso-recompute	FFMOFOFOFOFOFOFOFOFOFOFOFOFOFOFOFO	F:ok(F=6,reclaimed=18) F:noop M:ok O:ok F:ok(F=7,reclaimed=6) O:ok F:ok(F=8,reclaimed=8) O:ok F:ok(F=9,reclaimed=8) O:ok F:ok(F=14,reclaimed=25) O:ok F:ok(F=17,reclaimed=16) O:ok F:ok(F=20,reclaimed=16) O:ok F:ok(F=23,reclaimed=16) O:ok F:ok(F=26,reclaimed=16) O:ok F:ok(F=29,reclaimed=16) O:ok F:ok(F=32,reclaimed=16) O:ok F:ok(F=35,reclaimed=16) O:ok F:ok(F=38,reclaimed=16) O:ok F:ok(F=41,reclaimed=16) O:ok F:ok(F=44,reclaimed=16) O:ok F:ok(F=47,reclaimed=16) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	164	3211264	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N3-iso-recompute	FFFOFOFOFOFOFOFOFOFOFOFOFOFOFOFOFO	F:ok(F=6,reclaimed=18) F:noop F:noop O:ok F:ok(F=7,reclaimed=6) O:ok F:ok(F=8,reclaimed=8) O:ok F:ok(F=9,reclaimed=8) O:ok F:ok(F=12,reclaimed=16) O:ok F:ok(F=15,reclaimed=16) O:ok F:ok(F=18,reclaimed=16) O:ok F:ok(F=21,reclaimed=16) O:ok F:ok(F=24,reclaimed=16) O:ok F:ok(F=27,reclaimed=16) O:ok F:ok(F=30,reclaimed=16) O:ok F:ok(F=33,reclaimed=16) O:ok F:ok(F=36,reclaimed=16) O:ok F:ok(F=39,reclaimed=16) O:ok F:ok(F=42,reclaimed=16) O:ok F:ok(F=45,reclaimed=16) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	160	3145728	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N3-iso-recompute	FFFFFOFOFOFOFOFOFOFOFOFOFOFOFOFOFO	F:ok(F=6,reclaimed=18) F:noop F:noop F:noop F:noop O:ok F:ok(F=7,reclaimed=6) O:ok F:ok(F=8,reclaimed=8) O:ok F:ok(F=9,reclaimed=8) O:ok F:ok(F=12,reclaimed=16) O:ok F:ok(F=15,reclaimed=16) O:ok F:ok(F=18,reclaimed=16) O:ok F:ok(F=21,reclaimed=16) O:ok F:ok(F=24,reclaimed=16) O:ok F:ok(F=27,reclaimed=16) O:ok F:ok(F=30,reclaimed=16) O:ok F:ok(F=33,reclaimed=16) O:ok F:ok(F=36,reclaimed=16) O:ok F:ok(F=39,reclaimed=16) O:ok F:ok(F=42,reclaimed=16) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	150	2949120	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N3-iso-recompute	FFMFFOFOFOFOFOFOFOFOFOFOFOFOFOFOFO	F:ok(F=6,reclaimed=18) F:noop M:ok F:noop F:noop O:ok F:ok(F=7,reclaimed=6) O:ok F:ok(F=8,reclaimed=8) O:ok F:ok(F=9,reclaimed=8) O:ok F:ok(F=14,reclaimed=25) O:ok F:ok(F=17,reclaimed=16) O:ok F:ok(F=20,reclaimed=16) O:ok F:ok(F=23,reclaimed=16) O:ok F:ok(F=26,reclaimed=16) O:ok F:ok(F=29,reclaimed=16) O:ok F:ok(F=32,reclaimed=16) O:ok F:ok(F=35,reclaimed=16) O:ok F:ok(F=38,reclaimed=16) O:ok F:ok(F=41,reclaimed=16) O:ok F:ok(F=44,reclaimed=16) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	154	3014656	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N3-iso-recompute	FFOFFOFOFOFOFOFOFOFOFOFOFOFOFOFOFO	F:ok(F=6,reclaimed=18) F:noop O:ok F:ok(F=7,reclaimed=6) F:noop O:ok F:ok(F=8,reclaimed=8) O:ok F:ok(F=9,reclaimed=8) O:ok F:ok(F=12,reclaimed=16) O:ok F:ok(F=15,reclaimed=16) O:ok F:ok(F=18,reclaimed=16) O:ok F:ok(F=21,reclaimed=16) O:ok F:ok(F=24,reclaimed=16) O:ok F:ok(F=27,reclaimed=16) O:ok F:ok(F=30,reclaimed=16) O:ok F:ok(F=33,reclaimed=16) O:ok F:ok(F=36,reclaimed=16) O:ok F:ok(F=39,reclaimed=16) O:ok F:ok(F=42,reclaimed=16) O:ok F:ok(F=45,reclaimed=16) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	160	3145728	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N3-iso-recompute	FFOMFOFOFOFOFOFOFOFOFOFOFOFOFOFOFO	F:ok(F=6,reclaimed=18) F:noop O:ok M:ok F:ok(F=7,reclaimed=6) O:ok F:ok(F=8,reclaimed=8) O:ok F:ok(F=9,reclaimed=8) O:ok F:ok(F=12,reclaimed=16) O:ok F:ok(F=17,reclaimed=25) O:ok F:ok(F=20,reclaimed=16) O:ok F:ok(F=23,reclaimed=16) O:ok F:ok(F=26,reclaimed=16) O:ok F:ok(F=29,reclaimed=16) O:ok F:ok(F=32,reclaimed=16) O:ok F:ok(F=35,reclaimed=16) O:ok F:ok(F=38,reclaimed=16) O:ok F:ok(F=41,reclaimed=16) O:ok F:ok(F=44,reclaimed=16) O:ok F:ok(F=47,reclaimed=16) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	164	3211264	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N3-iso-recompute	FFMMFOFOFOFOFOFOFOFOFOFOFOFOFOFOFO	F:ok(F=6,reclaimed=18) F:noop M:ok M:ok F:noop O:ok F:ok(F=7,reclaimed=6) O:ok F:ok(F=8,reclaimed=8) O:ok F:ok(F=9,reclaimed=8) O:ok F:ok(F=17,reclaimed=38) O:ok F:ok(F=20,reclaimed=16) O:ok F:ok(F=23,reclaimed=16) O:ok F:ok(F=26,reclaimed=16) O:ok F:ok(F=29,reclaimed=16) O:ok F:ok(F=32,reclaimed=16) O:ok F:ok(F=35,reclaimed=16) O:ok F:ok(F=38,reclaimed=16) O:ok F:ok(F=41,reclaimed=16) O:ok F:ok(F=44,reclaimed=16) O:ok F:ok(F=47,reclaimed=16) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	160	3112960	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N3-iso-recompute	FFFMFOFOFOFOFOFOFOFOFOFOFOFOFOFOFO	F:ok(F=6,reclaimed=18) F:noop F:noop M:ok F:noop O:ok F:ok(F=7,reclaimed=6) O:ok F:ok(F=8,reclaimed=8) O:ok F:ok(F=9,reclaimed=8) O:ok F:ok(F=14,reclaimed=25) O:ok F:ok(F=17,reclaimed=16) O:ok F:ok(F=20,reclaimed=16) O:ok F:ok(F=23,reclaimed=16) O:ok F:ok(F=26,reclaimed=16) O:ok F:ok(F=29,reclaimed=16) O:ok F:ok(F=32,reclaimed=16) O:ok F:ok(F=35,reclaimed=16) O:ok F:ok(F=38,reclaimed=16) O:ok F:ok(F=41,reclaimed=16) O:ok F:ok(F=44,reclaimed=16) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	154	3014656	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N3-iso-recompute	FMFOFOFOFOFOFOFOFOFOFOFOFOFOFOFOFO	F:ok(F=6,reclaimed=18) M:ok F:noop O:ok F:ok(F=7,reclaimed=6) O:ok F:ok(F=8,reclaimed=8) O:ok F:ok(F=9,reclaimed=8) O:ok F:ok(F=14,reclaimed=25) O:ok F:ok(F=17,reclaimed=16) O:ok F:ok(F=20,reclaimed=16) O:ok F:ok(F=23,reclaimed=16) O:ok F:ok(F=26,reclaimed=16) O:ok F:ok(F=29,reclaimed=16) O:ok F:ok(F=32,reclaimed=16) O:ok F:ok(F=35,reclaimed=16) O:ok F:ok(F=38,reclaimed=16) O:ok F:ok(F=41,reclaimed=16) O:ok F:ok(F=44,reclaimed=16) O:ok F:ok(F=47,reclaimed=16) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	164	3211264	0	0	-	[]	0	0
F10-writer-bug-disk-carried-leaf	N3-iso-recompute	FMFFFOFOFOFOFOFOFOFOFOFOFOFOFOFOFO	F:ok(F=6,reclaimed=18) M:ok F:noop F:noop F:noop O:ok F:ok(F=7,reclaimed=6) O:ok F:ok(F=8,reclaimed=8) O:ok F:ok(F=9,reclaimed=8) O:ok F:ok(F=14,reclaimed=25) O:ok F:ok(F=17,reclaimed=16) O:ok F:ok(F=20,reclaimed=16) O:ok F:ok(F=23,reclaimed=16) O:ok F:ok(F=26,reclaimed=16) O:ok F:ok(F=29,reclaimed=16) O:ok F:ok(F=32,reclaimed=16) O:ok F:ok(F=35,reclaimed=16) O:ok F:ok(F=38,reclaimed=16) O:ok F:ok(F=41,reclaimed=16) O:ok F:ok(F=44,reclaimed=16) O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	154	3014656	0	0	-	[]	0	0
