fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events	reuse_steps	rebuild_mapping_mismatch	writes_refused
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FFFO	F:noop F:noop F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FFOF	F:noop F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FFFM	F:noop F:noop F:noop M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	6	98304	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FFFF	F:noop F:noop F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FFMO	F:noop F:noop M:ok O:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	12	229376	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FFMM	F:noop F:noop M:ok M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	12	196608	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FFMF	F:noop F:noop M:ok F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	6	98304	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FFOM	F:noop F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo M:ok	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	6	98304	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FFOO	F:noop F:noop O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo O:err:ReleaseTargetNotAllocated { unit: Data, device: DeviceIdentity(0), slo	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	0	0	0	0	-	[]	1	0
F11-writer-bug-disk-unallocated-slot	N1D-reread-then-mismatch-keep-allocated	FMFF	F:noop M:ok F:noop F:noop	ok	same	I-2.1,I-4.8,I-7.4	[0, 0]	0	0	[0, 0]	6	98304	0	0	-	[]	1	0
