S1W	FourGibibytes	30	target=(13, 2)	control	ok#3	target_in_ring=false
S1W	FourGibibytes	30	write	k=1	Acquisition	burned=false	target_in_ring=true	retry=ok#3	writable=ok#3	probe=-	checker_first=[]	checker_retry=[]	checker_writable=[]
S1W	FourGibibytes	30	write	k=2	Acquisition	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 35)):unreadable=0	checker_first=[]	checker_retry=[]	checker_writable=[]
S1W	FourGibibytes	30	write	k=3	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 35)):unreadable=0	checker_first=[]	checker_retry=[]	checker_writable=[]
S1W	FourGibibytes	30	write	k=4	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 35)):unreadable=0	checker_first=[]	checker_retry=[]	checker_writable=[]
S1W	FourGibibytes	30	write	k=5	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 35)):unreadable=0	checker_first=[]	checker_retry=[]	checker_writable=[]
S1W	FourGibibytes	30	write	k=6	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 35)):unreadable=0	checker_first=[]	checker_retry=[]	checker_writable=[]
S1W	FourGibibytes	30	write	k=7	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 35)):unreadable=0	checker_first=[]	checker_retry=[]	checker_writable=[]
S1W	FourGibibytes	30	write	k=8	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 35)):unreadable=0	checker_first=[]	checker_retry=[]	checker_writable=[]
S1W	FourGibibytes	30	write	k=9	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 35)):unreadable=0	checker_first=[]	checker_retry=[]	checker_writable=[]
S1W	FourGibibytes	30	write	k=10	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 35)):unreadable=0	checker_first=[]	checker_retry=[]	checker_writable=[]
S1W	FourGibibytes	30	write	k=11	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 35)):unreadable=0	checker_first=[]	checker_retry=[]	checker_writable=[]
