S1W	312	24	target=(3, 1)	control	ok#3	target_in_ring=false
S1W	312	24	write	k=1	Acquisition	burned=false	target_in_ring=true	retry=ok#3	writable=ok#3	probe=-
S1W	312	24	write	k=2	Acquisition	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 26)):unreadable=0
S1W	312	24	write	k=3	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 26)):unreadable=0
S1W	312	24	write	k=4	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 26)):unreadable=0
S1W	312	24	write	k=5	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 26)):unreadable=0
S1W	312	24	write	k=6	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 26)):unreadable=0
S1W	312	24	write	k=7	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 26)):unreadable=0
S1W	312	24	write	k=8	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 26)):unreadable=0
S1W	312	24	write	k=9	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 26)):unreadable=0
S1W	312	24	write	k=10	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 26)):unreadable=0
S1W	312	24	write	k=11	AFTER:BlockDevice(InputOutput(Custom { kind: Other, error: "注入的写错" }))	burned=true	target_in_ring=true	retry=ok#4	writable=ok#4	probe=noeffect:Some((2, 26)):unreadable=0
