S1W	312	24	target=(3, 1)	control	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	target_in_ring=true
S1W	312	24	write	k=1	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=2	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=3	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=4	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=5	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=6	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=7	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=8	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=9	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=10	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=11	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=12	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=13	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=14	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=15	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=16	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	write	k=17	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
