S1W	312	24	target=(3, 1)	control	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	target_in_ring=true
S1W	312	24	barrier	k=1	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=2	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=3	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=4	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=5	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=6	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=7	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=8	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=9	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=10	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=11	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=12	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=13	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=14	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=15	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=16	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=17	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=18	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=19	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=20	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
S1W	312	24	barrier	k=21	PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	burned=false	target_in_ring=true	retry=PlacementRefusedBeforeAcquisitionMountAdmissionUndecided[unit: MappingTree, refusal: NoFreeSlotOn]	writable=ok#3	probe=-
