violations total: 0
arm | script | 240 | 256 | 320 | 384 | 448 | 512 | 640 | 768 | 1024
T | a-ow150 | -FB | -FB | -FB | -FB | MFB | -FB | MFB | WFB | WFB
T | b-shrink-rewrite-4-3 | -FB | MFB | -FB | MFB | -FB | -FB | -FB | -FB | WFB
T | b2-same-units-shrinking-bytes | -fB | -FB | MFB | -FB | MFB | -FB | -FB | MFB | WFB
T | c-grow6-truncate-x10 | -FB | -FB | -FB | -FB | -FB | MFB | MFB | -FB | WFB
T | d-empty-on-empty-x60 | -FB | -FB | -FB | -FB | MFB | -FB | MFB | WFB | WFB
T | e-inodes400-then-ow60 | -FB | MFB | -FB | -FB | -FB | -FB | -FB | WFB | WFB
T | f-fragment-5-1-4-2-3-1 | -FB | MFB | -FB | -FB | -FB | -FB | -FB | -FB | WFB
A1 | a-ow150 | -FB | MFB | MFB | -FB | MFB | MFB | MFB | WFB | WFB
A1 | b-shrink-rewrite-4-3 | MfB | MFB | MFB | MFB | -FB | MFB | MFB | -FB | WFB
A1 | b2-same-units-shrinking-bytes | MfB | MfB | MFB | MFB | MFB | -FB | -FB | MFB | WFB
A1 | c-grow6-truncate-x10 | -fB | MFB | -FB | MFB | MFB | MFB | MFB | -FB | WFB
A1 | d-empty-on-empty-x60 | -FB | MFB | MFB | -FB | MFB | MFB | MFB | WFB | WFB
A1 | e-inodes400-then-ow60 | MFB | MFB | MFB | MFB | -FB | MFB | -FB | WFB | WFB
A1 | f-fragment-5-1-4-2-3-1 | MfB | MFB | -FB | -FB | MFB | -FB | MFB | MFB | WFB
A2 | a-ow150 | MFB | MFB | MFB | MFB | WFB | WFB | WFB | WFB | WFB
A2 | b-shrink-rewrite-4-3 | MFB | MFB | MFB | MFB | MFB | MFB | WFB | WFB | WFB
A2 | b2-same-units-shrinking-bytes | MFB | MFB | MFB | MFB | MFB | MFB | WFB | WFB | WFB
A2 | c-grow6-truncate-x10 | MFB | MFB | MFB | MFB | MFB | MFB | WFB | WFB | WFB
A2 | d-empty-on-empty-x60 | MFB | MFB | MFB | MFB | WFB | WFB | WFB | WFB | WFB
A2 | e-inodes400-then-ow60 | MFB | MFB | MFB | MFB | WFB | WFB | WFB | WFB | WFB
A2 | f-fragment-5-1-4-2-3-1 | MFB | MFB | MFB | MFB | MFB | MFB | WFB | WFB | WFB
A4 | a-ow150 | MFB | MFB | MFB | MFB | MFB | MFB | MFB | WFB | WFB
A4 | b-shrink-rewrite-4-3 | MFB | MFB | MFB | MFB | MFB | MFB | MFB | MFB | WFB
A4 | b2-same-units-shrinking-bytes | MfB | MFB | MFB | MFB | MFB | MFB | MFB | MFB | WFB
A4 | c-grow6-truncate-x10 | MFB | MFB | MFB | MFB | MFB | MFB | MFB | MFB | WFB
A4 | d-empty-on-empty-x60 | MFB | MFB | MFB | MFB | MFB | MFB | MFB | WFB | WFB
A4 | e-inodes400-then-ow60 | MFB | MFB | MFB | MFB | MFB | MFB | MFB | WFB | WFB
A4 | f-fragment-5-1-4-2-3-1 | MFB | MFB | MFB | MFB | MFB | MFB | MFB | MFB | WFB
A3ge | a-ow150 | --- | --- | --- | -F- | -FB | -FB | -FB | WFB | WFB
A3ge | b-shrink-rewrite-4-3 | --- | --- | --- | -FB | --- | -F- | -FB | -FB | WFB
A3ge | b2-same-units-shrinking-bytes | --- | --- | -FB | --- | --- | -F- | -FB | -FB | -FB
A3ge | c-grow6-truncate-x10 | --- | --- | --- | -F- | -FB | -FB | -FB | -FB | WFB
