格 = 放行的用户发布数 / S4 次数（放行之后下一次可写挂载被拒）/ S4b 次数（挂载放行、紧接着同样大小的覆盖写被拒），7 条脚本求和
臂 | 240 | 256 | 320 | 384 | 448 | 512 | 640 | 768 | 1024 | S4 合计 | S4b 合计
T | 32/7/6 | 35/4/10 | 48/6/7 | 61/6/7 | 74/4/10 | 89/6/7 | 114/4/9 | 344/3/4 | 505/0/0 | 40 | 60
A1 | 28/3/12 | 31/0/13 | 44/2/11 | 58/3/12 | 72/2/13 | 85/2/12 | 112/2/14 | 343/2/5 | 438/0/0 | 16 | 92
A2 | 58/0/15 | 60/0/12 | 87/0/13 | 116/0/16 | 343/0/7 | 357/0/6 | 565/0/0 | 565/0/0 | 565/0/0 | 0 | 69
ND | 64/5/7 | 67/2/11 | 94/5/9 | 122/4/10 | 348/4/5 | 362/0/2 | 565/0/0 | 565/0/0 | 565/0/0 | 20 | 44
A4 | 32/0/13 | 35/0/14 | 48/0/13 | 61/0/13 | 74/0/14 | 89/0/13 | 114/0/13 | 344/0/7 | 505/0/0 | 0 | 100
A3ge | 98/73/0 | 104/73/0 | 125/83/0 | 351/296/0 | 363/293/0 | 392/309/0 | 457/347/0 | 464/123/0 | 563/58/0 | 1655 | 0
A3gt | 34/9/3 | 36/5/6 | 49/7/3 | 64/9/5 | 79/9/6 | 93/10/4 | 116/6/7 | 348/7/0 | 505/0/0 | 62 | 34
A2+A3ge | 97/37/0 | 103/38/0 | 127/37/0 | 348/230/0 | 360/16/0 | 424/33/0 | 565/0/0 | 565/0/0 | 565/0/0 | 391 | 0
A2+A3gt | 60/1/10 | 63/2/8 | 90/2/8 | 118/1/11 | 348/4/0 | 358/0/1 | 565/0/0 | 565/0/0 | 565/0/0 | 10 | 38
A2+A4 | 58/0/15 | 60/0/12 | 87/0/13 | 116/0/16 | 343/0/7 | 357/0/6 | 565/0/0 | 565/0/0 | 565/0/0 | 0 | 69
A2+A3gt+A4 | 60/0/11 | 63/0/9 | 90/0/9 | 118/0/12 | 348/0/2 | 358/0/1 | 565/0/0 | 565/0/0 | 565/0/0 | 0 | 44
A2+A3ge+A4 | 97/11/4 | 103/14/1 | 127/12/2 | 348/3/3 | 360/2/0 | 424/0/0 | 565/0/0 | 565/0/0 | 565/0/0 | 42 | 10
