violations 0
cell = N(近满时放行的最大单元数):删后重写成功前的用户步数(0=立刻；X=8步内没成)；D!=截断这一次发布本身被准入拒
arm | filler | 240 | 256 | 320 | 384 | 448 | 512 | 640 | 768 | 1024
T | inode | N4:D!X | N4:X | N6:D!X | N7:D!X | N8:X | N9:X | N11:X | N13:D!X | N16:X
T | remount | N4:D!X | N4:X | N6:D!X | N7:D!X | N8:X | N9:X | N11:X | N13:D!X | N16:X
T | raiseF | N4:D!1 | N4:1 | N6:D!1 | N7:D!1 | N8:1 | N9:1 | N11:1 | N13:D!1 | N16:1
T | inode+raiseF | N4:D!1 | N4:1 | N6:D!1 | N7:D!1 | N8:1 | N9:1 | N11:1 | N13:D!1 | N16:1
T | ow1+raiseF | N4:D!1 | N4:1 | N6:D!1 | N7:D!1 | N8:1 | N9:1 | N11:1 | N13:D!1 | N16:1
A1 | inode | N4:D!X | N4:D!X | N5:X | N7:D!X | N8:D!X | N9:D!X | N11:D!X | N13:D!X | N16:D!X
A1 | remount | N4:D!X | N4:D!X | N5:X | N7:D!X | N8:D!X | N9:D!X | N11:D!X | N13:D!X | N16:D!X
A1 | raiseF | N4:D!X | N4:D!1 | N5:1 | N7:D!1 | N8:D!1 | N9:D!1 | N11:D!1 | N13:D!1 | N16:D!1
A1 | inode+raiseF | N4:D!X | N4:D!1 | N5:1 | N7:D!1 | N8:D!1 | N9:D!1 | N11:D!1 | N13:D!1 | N16:D!1
A1 | ow1+raiseF | N4:D!X | N4:D!1 | N5:1 | N7:D!1 | N8:D!1 | N9:D!1 | N11:D!1 | N13:D!1 | N16:D!1
A2 | inode | N6:D!X | N6:X | N8:X | N10:X | N12:X | N13:0 | N16:0 | N19:8 | N23:0
A2 | remount | N6:D!X | N6:X | N8:X | N10:X | N12:X | N13:0 | N16:0 | N19:3 | N23:0
A2 | raiseF | N6:D!1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2 | inode+raiseF | N6:D!1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2 | ow1+raiseF | N6:D!1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
ND | inode | N7:D!X | N7:X | N9:X | N11:X | N13:D!X | N14:X | N17:X | N20:X | N24:2
ND | remount | N7:D!X | N7:X | N9:X | N11:X | N13:D!X | N14:X | N17:X | N20:X | N24:1
ND | raiseF | N7:D!1 | N7:1 | N9:1 | N11:1 | N13:D!1 | N14:1 | N17:1 | N20:1 | N24:1
ND | inode+raiseF | N7:D!1 | N7:1 | N9:1 | N11:1 | N13:D!1 | N14:1 | N17:1 | N20:1 | N24:1
ND | ow1+raiseF | N7:D!1 | N7:1 | N9:1 | N11:1 | N13:D!1 | N14:1 | N17:1 | N20:1 | N24:1
A4 | inode | N4:D!X | N4:X | N6:D!X | N7:D!X | N8:X | N9:X | N11:X | N13:D!X | N16:X
A4 | remount | N4:D!X | N4:X | N6:D!X | N7:D!X | N8:8 | N9:8 | N11:7 | N13:D!7 | N16:5
A4 | raiseF | N4:D!1 | N4:1 | N6:D!1 | N7:D!1 | N8:1 | N9:1 | N11:1 | N13:D!1 | N16:1
A4 | inode+raiseF | N4:D!1 | N4:1 | N6:D!1 | N7:D!1 | N8:1 | N9:1 | N11:1 | N13:D!1 | N16:1
A4 | ow1+raiseF | N4:D!1 | N4:1 | N6:D!1 | N7:D!1 | N8:1 | N9:1 | N11:1 | N13:D!1 | N16:1
A3ge | inode | N4:X | N4:X | N6:X | N7:X | N8:X | N9:X | N11:X | N13:X | N16:X
A3ge | remount | N4:X | N4:X | N6:X | N7:X | N8:X | N9:X | N11:X | N13:X | N16:X
A3ge | raiseF | N4:X | N4:1 | N6:1 | N7:1 | N8:1 | N9:1 | N11:1 | N13:1 | N16:1
A3ge | inode+raiseF | N4:1 | N4:1 | N6:1 | N7:1 | N8:1 | N9:1 | N11:1 | N13:1 | N16:1
A3ge | ow1+raiseF | N4:1 | N4:1 | N6:1 | N7:1 | N8:1 | N9:1 | N11:1 | N13:1 | N16:1
A3gt | inode | N4:X | N4:X | N6:X | N7:X | N8:X | N9:X | N11:X | N13:X | N16:X
A3gt | remount | N4:X | N4:X | N6:X | N7:X | N8:X | N9:X | N11:X | N13:X | N16:X
A3gt | raiseF | N4:X | N4:1 | N6:1 | N7:1 | N8:1 | N9:1 | N11:1 | N13:1 | N16:1
A3gt | inode+raiseF | N4:X | N4:1 | N6:1 | N7:1 | N8:1 | N9:1 | N11:1 | N13:1 | N16:1
A3gt | ow1+raiseF | N4:X | N4:1 | N6:1 | N7:1 | N8:1 | N9:1 | N11:1 | N13:1 | N16:1
A2+A3ge | inode | N6:X | N6:X | N8:X | N10:X | N12:X | N13:0 | N16:0 | N19:8 | N23:0
A2+A3ge | remount | N6:X | N6:X | N8:X | N10:X | N12:X | N13:0 | N16:0 | N19:3 | N23:0
A2+A3ge | raiseF | N6:1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
A2+A3ge | inode+raiseF | N6:1 | N6:1 | N8:1 | N10:1 | N12:1 | N13:0 | N16:0 | N19:1 | N23:0
