    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.00s
     Running tests/s4_r2_candidates.rs (target/debug/deps/s4_r2_candidates-6d293d50af15faa1)

running 2 tests
test s4_r2_b_admitted_session_then_reopen_across_candidates ... S4R2-B width=240 candidate=baseline first_mount=Applied overwrites_admitted_in_one_session=5 next_step=Some("PublishError::SpaceAdmissionRefused")
S4R2-B width=240 candidate=baseline k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=240 candidate=baseline k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
S4R2-B width=240 candidate=baseline k=2 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=6
S4R2-B width=240 candidate=baseline k=3 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=7
S4R2-B width=240 candidate=baseline k=4 session_all_admitted=true next_writable_mount=Applied again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=7
S4R2-B width=240 candidate=baseline k=5 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=7
S4R2-B width=240 candidate=a1 first_mount=Applied overwrites_admitted_in_one_session=6 next_step=Some("PublishError::SpaceAdmissionRefused")
S4R2-B width=240 candidate=a1 k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=240 candidate=a1 k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
S4R2-B width=240 candidate=a1 k=2 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=6
S4R2-B width=240 candidate=a1 k=3 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=7
S4R2-B width=240 candidate=a1 k=4 session_all_admitted=true next_writable_mount=Applied again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=7
S4R2-B width=240 candidate=a1 k=5 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=7
S4R2-B width=240 candidate=a1 k=6 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=8
S4R2-B width=240 candidate=a2 first_mount=Applied overwrites_admitted_in_one_session=12 next_step=Some("PublishError::SpaceAdmissionRefused")
S4R2-B width=240 candidate=a2 k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=240 candidate=a2 k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
S4R2-B width=240 candidate=a2 k=2 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=6
S4R2-B width=240 candidate=a2 k=3 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=7
S4R2-B width=240 candidate=a2 k=4 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=8
S4R2-B width=240 candidate=a2 k=5 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=9
S4R2-B width=240 candidate=a2 k=6 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=10
S4R2-B width=240 candidate=a2 k=7 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=11
S4R2-B width=240 candidate=a2 k=8 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=12
S4R2-B width=240 candidate=a2 k=9 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=13
S4R2-B width=240 candidate=a2 k=10 session_all_admitted=true next_writable_mount=Applied again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=13
S4R2-B width=240 candidate=a2 k=11 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=13
S4R2-B width=240 candidate=a2 k=12 session_all_admitted=true next_writable_mount=MountError::SpaceAdmissionRefusedBeforeAcquisition again=MountError::SpaceAdmissionRefusedBeforeAcquisition ending=Completed checker_runs=14
S4R2-B width=240 candidate=a3 first_mount=Applied overwrites_admitted_in_one_session=16 next_step=Some("PublishError::PlacementRefused(NoFreeSlotOnAnyDevice)")
S4R2-B width=240 candidate=a3 k=0 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=4
S4R2-B width=240 candidate=a3 k=1 session_all_admitted=true next_writable_mount=Applied again=Applied ending=Completed checker_runs=5
