组	旧事实	新事实	载体	原文
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/checks-owed.md:34	| C25 | 三个 oracle 零代码 | **三个 oracle（内存模型对拍 / 独立解析器+checker / 独立规约执行器）2026-08-29 全部零代码，且一条都没被记进本清单**（2026-09-14 起独立解析器 + checker 有代码：`crates/singlefs-checker`；内存模型对拍与独立规约执行器仍零代码） ⇒ 本工程功能正确性的全部故事没有任何一处欠条 | 每个 oracle 各立一条欠检查，写明它判什么、前置是什么、什么时候该有。⚠️ 判据不是「实现了没」，是「**它欠的账在不在册**」——不在册的欠账不会被任何人排期 | 无前置，纯记账缺口 | 2026-08-29 现查：`O1（内存模型对拍（HashMap 理想文件系统））`/`O2（独立解析器 + checker）`/`O3（独立规约执行器）` 在本清单与 experiments.md 里各 **0 次命中**；`crates/` 不存在。而 [decisions.md](decisions.md) D13（验证路线） 把它们列为三条互相独立的验证路线，CLAUDE.md 又把「
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/checks-owed.md:121	| C116 | 叶容器的分裂 / 合并纪律没有会失败的检查 | D8（核心索引结构） 已定项 6 的三条写路径纪律对着一个镜像判不了：末尾分裂（左半保留全部记录与身份、右半容器号 = 触发分裂的新记录号）、合并保留左半身份、记录数为 0 的类型 2 容器不落盘。三条任一条写错，容器身份就会重复或空叶在重建时没有 key 范围，而 I-9（inode 树结构） 类只能在事后从镜像上抓到症状 | 模型对拍：随机创建 / 删除 / 克隆序列下逐次发布比对容器身份集合与 I-9.4（容器号不超最小 key）；崩溃点重放：在分裂 / 合并那次发布的每个写请求后截断，重放后不许出现记录数为 0 的类型 2 容器 | 事务层、崩溃点重放（verification-build.md；两样 2026-09-14 都有了，第一个事务里没有叶容器的分裂与合并） | 2026-09-05 D8（核心索引结构） 已定项 6 第三轮正推腿结论表、反推腿详核 1.2 / 1.3 |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/checks-owed.md:187	| C191 | 同源性计数器只盖了一对 | **D13（验证路线）「冲突 2」要求的「spec 与 model 不一致」事件计数，今天只对 O3（独立规约执行器） × RefFS 一对立了格**（[verification-build.md](verification-build.md) 落地顺序第 6 步），而要观测的是三对：O3（独立规约执行器） × RefFS、crash refinement 的 spec × O1（内存模型对拍（HashMap 理想文件系统）） 的 model、以及 **D13（验证路线） 已定项 1 采纳 M2 之后新增的那一对**——M2 的 spec 与记录核对器（入参都是 `(崩溃前镜像, 记录流, 崩溃后镜像)`）。少一对就等于那两条腿的独立性从没被观测过 | 不一致事件落成一张表，每行记「哪两方、判谁错、日期」；**任一对累计 ≥ 5 次不一致而判「spec 错」的次数为 0 即判红**（D13（验证路线）「冲突 2」逐字的判据），红了的处置是把那两条腿合并、预算移给穷举。判别力自证：喂一张「5 次不一致全判 model 错」的表，必须红 | 三
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/checks-owed.md:255	| C275 | 跨文件 reflink 下 AAD 两段没有期望值来源 | D9（加密） 已定项 6 的 AAD 里对象 ID 与锚点偏移的期望值来源是「查找路径」，D9（加密） 逐字「一律不许来自明文侧，也不许从指针里读回来」；跨文件 reflink 之后读者的查找路径给的是**引用文件**的对象 ID 与偏移，而单元加密那一刻 AAD 里是**出生文件**的 ⇒ 加密开启后跨文件 reflink 要么读不出，要么得给这两段也立一套「声明 + 验收」。E90（树 ID 进 AAD 与跨头共享） 的「声明 + 祖先验收」只罩出生 (树, txg)，它的世界里没有跨文件 reflink——2026-09-11 现查 `grep -c reflink` 在 D9（加密）、E90（树 ID 进 AAD 与跨头共享）、E31（AAD 缺快照维） 三个文件都是 0（只核了这三个文件）。不区分映射 key 族 | 模型里造一次跨文件 reflink 之后的读，AAD 按查找路径取期望值，必须报失配；给出修复形态之后同一构造必须转过 | 加密的模型对拍；D9（加密） 那条要重开 | 2026-09
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/checks-owed.md:314	| C344 | 单调统计量的点删遇墓碑没有会红的检查 | D5（快照 / 空间记账机制） 已定项 3 第 2 条 2026-09-16 补了「点删的墓碑不参加取最大」，而检查还没有：把墓碑当数值折进 max 时四条候选 16 / 16 丢点删（`research/prompts/c161-r3-sonnet-model/b.out`）、乙-D 3 步读到被点删的那一代（`research/prompts/c161-r3-opus-model/c161-r3-model-output.txt` 的 `part=C` 行）；第一版每个 key 每次发布只写进树一次、直落叶（D8（核心索引结构） 已定项 10），撞不上——它在 write buffer 前端或节点缓冲让同一个 key 多条并存时才发生 | 读一个 key 时最新一条是墓碑就判死、被点删的那一代读不到；判别力自证：把这一句拿掉、退回朴素折叠，同一批用例必须由绿转红（`research/prompts/c161-r3-sonnet-model/b_mutate_off_fix.out` 16 / 16） | write buf
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/checks-owed.md:319	| C349 | 重组时节点消息缓冲区怎么搬没有条款 | D8（核心索引结构）、D11（索引节点要不要留消息缓冲区） 两份文件里「塌缩」「树变矮」「再平衡」「重分配」都是 0 次；按最弱读法——塌缩把孩子缓冲里的旧消息当新来的并进根缓冲（甲-R4 4 步、乙-D 6 步读到旧值，`research/prompts/c161-r2-opus-model/`）、再平衡只搬挪走的子树里有这个 key 的消息（甲-R4 3 步、乙-D / 乙-G 4 步；只含直写的同一段历史在 extent 树上 3 步，`research/prompts/c161-r3-opus-model/c161-r3-model-output.txt` 里 `part=A` 的 `*_T2present` 行）——留缓冲的每一棵树都读错。射程是全部留缓冲的树（extent / dirent 按 D11（索引节点要不要留消息缓冲区） 已定项 6 的树轴留缓冲），D8（核心索引结构） 已定项 12 只省了前端三棵树上那一份 | 条款写三条重组规则：塌缩先把根缓冲按下推规则推进孩子再合并、再平衡按挪走的 pivot 区间搬
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/checks-owed.md:342	| C368 | 分配器落点只看盘 0，盘不等大时断言失败 | 2026-09-17 已实现：用户数据、开段、回落三处由每块盘各答一个、一致才分配，不一致或部分盘答不出在动状态之前返回 `PlacementRefusal`；用例 `second_transaction_supplement_two_unequal_devices.rs` 三条、变异在 `crates/mutations.tsv`。仍欠的写清：发布层把三种拒绝统一报成 `NoSpaceFor`，调用方分不出；模型对拍没有不等盘的取样点——增补 3 第 2 件的小盘段两块盘等大（`HistoryDeviceWidth::UnitAreaOf384Slots`），把「每块盘上都没有」报成「小盘写满」、只换原因的那条变异在五段上一段都不红（2026-09-19 实现员实测，代码三方第二轮判决第 44 行第 6 条）。 | harness 造一个两块不等大盘的池，填到小盘单元区末尾之后，分配必须按设备取落点或返回 `None`，不许 panic；判别力自证：删掉按设备取那一步必须红。随机历史另加一个两块盘不等大的取样点，把「每块
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/08-核心索引结构.md:376	合并：只许**左吸收右 / 左从右借**（右吸收左或右从左借会破「记录号 ≥ 容器号」），保留左半身份，右半退役走 COW 释放路径；合并时机是写路径策略（单测 / 模型对拍），不进格式。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/08-核心索引结构.md:422	第一版的唯一文件取 inode 1（0 无效），nlink = 1，不进孤儿回收。分裂 / 合并的身份传递与合并方向以外的写路径纪律是操作断言，走单测 / 模型对拍与崩溃点重放（C116（叶容器的分裂 / 合并纪律没有会失败的检查））。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/decisions/13-验证路线.md:14	| O1 | 内存模型对拍（HashMap 理想文件系统） | POSIX 可见语义：内容、大小、目录结构 | 不碰盘、不解析磁盘格式 | 磁盘结构是否自洽；崩溃语义；**两份实现对同一条 POSIX 语义的共同误解** |
