| 变异 | --selftest 退出码 | --benchmark 退出码与末行 |
|---|---|---|
| M1 候选表落盘时丢掉 records/ 的行（只改 write_candidates） | 0 | 0：✓ 阳性对照：已知的 25 处腐烂里 20 处在候选里（下限 20）（盲写事实表 60 行，候选 1792 行、1279 个不同的行） |
| M2 --facts 出候选表前按载体去重，同一行只留第一件事实 | 0 | 0：✓ 阳性对照：已知的 25 处腐烂里 20 处在候选里（下限 20）（盲写事实表 60 行，候选 1792 行、1279 个不同的行） |
| M3 结束在工作区时不收未跟踪的新文件（all_paths 的 --others） | 0 | 0：✓ 阳性对照：已知的 25 处腐烂里 20 处在候选里（下限 20）（盲写事实表 60 行，候选 1792 行、1279 个不同的行） |
| M4 --groups 区间丢掉最后一组（range 少 1） | 0 | 0：✓ 阳性对照：已知的 25 处腐烂里 20 处在候选里（下限 20）（盲写事实表 60 行，候选 1792 行、1279 个不同的行） |
| M5 核对器不再核判定是不是五种之一 | 0 | 0：✓ 阳性对照：已知的 25 处腐烂里 20 处在候选里（下限 20）（盲写事实表 60 行，候选 1792 行、1279 个不同的行） |
| M6 理由下限 8 → 3 | 0 | 0：✓ 阳性对照：已知的 25 处腐烂里 20 处在候选里（下限 20）（盲写事实表 60 行，候选 1792 行、1279 个不同的行） |
| M7 冒充新立只看基准命中、不再看新事实里的六个词 | 0 | 0：✓ 阳性对照：已知的 25 处腐烂里 20 处在候选里（下限 20）（盲写事实表 60 行，候选 1792 行、1279 个不同的行） |
| M8 check-facts 去掉「基准零命中」闸（对照组，预期被 selftest 抓） | 5 | 0：✓ 阳性对照：已知的 25 处腐烂里 20 处在候选里（下限 20）（盲写事实表 60 行，候选 1792 行、1279 个不同的行） |
| M9 候选只收长度 ≤ 400 字的行（build_candidates） | 0 | 4：✗ 阳性对照只罩住 3 处已知的腐烂，低于 20（b1c8cef~1..00c9d4f，只存哈希） |
| M10 现状句停在任何「## 历史」「## 经过」开头的标题（改 current_state_lines 的停点；这段历史上候选数不变，算空变异） | 0 | 0：✓ 阳性对照：已知的 25 处腐烂里 20 处在候选里（下限 20）（盲写事实表 60 行，候选 1792 行、1279 个不同的行） |
