E7RESULT name=config iters=2000000 rounds=5 inner=3 node_bytes=16384 node_hdr=64
E7RESULT name=derived arm=bing child_ptr=59 inode_entry=93 ledger_entry=81 root_record=194 tree_entry=121
E7RESULT name=derived arm=jia child_ptr=75 inode_entry=109 ledger_entry=97 root_record=226 tree_entry=137
E7RESULT name=poscontrol arm=inode_bing entry_bytes=93 slots=175 depth_small=2 depth_big=4 ns_small=14153189 ns_big=148201476 ratio=10.47 ok=true
E7RESULT name=poscontrol arm=inode_jia entry_bytes=109 slots=149 depth_small=2 depth_big=4 ns_small=14141939 ns_big=142345577 ratio=10.07 ok=true
E7RESULT name=poscontrol arm=ledger_bing entry_bytes=81 slots=201 depth_small=2 depth_big=4 ns_small=14484093 ns_big=138460555 ratio=9.56 ok=true
E7RESULT name=poscontrol arm=ledger_jia entry_bytes=97 slots=168 depth_small=2 depth_big=4 ns_small=14276907 ns_big=142999961 ratio=10.02 ok=true
E7RESULT name=poscontrol arm=xdev_67 entry_bytes=67 slots=243 depth_small=2 depth_big=3 ns_small=14870048 ns_big=114786223 ratio=7.72 ok=true
E7RESULT name=poscontrol arm=xdev_111 entry_bytes=111 slots=147 depth_small=2 depth_big=4 ns_small=14108910 ns_big=138493320 ratio=9.82 ok=true
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=2048 round=0 slots=175 depth=2 nodes=13 footprint_bytes=212992 ns_per_lookup=56.91
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=2048 round=1 slots=175 depth=2 nodes=13 footprint_bytes=212992 ns_per_lookup=57.19
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=2048 round=2 slots=175 depth=2 nodes=13 footprint_bytes=212992 ns_per_lookup=57.15
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=2048 round=3 slots=175 depth=2 nodes=13 footprint_bytes=212992 ns_per_lookup=57.21
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=2048 round=4 slots=175 depth=2 nodes=13 footprint_bytes=212992 ns_per_lookup=56.99
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=32768 round=0 slots=175 depth=3 nodes=191 footprint_bytes=3129344 ns_per_lookup=93.12
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=32768 round=1 slots=175 depth=3 nodes=191 footprint_bytes=3129344 ns_per_lookup=93.12
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=32768 round=2 slots=175 depth=3 nodes=191 footprint_bytes=3129344 ns_per_lookup=93.14
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=32768 round=3 slots=175 depth=3 nodes=191 footprint_bytes=3129344 ns_per_lookup=93.25
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=32768 round=4 slots=175 depth=3 nodes=191 footprint_bytes=3129344 ns_per_lookup=93.18
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=524288 round=0 slots=175 depth=3 nodes=3015 footprint_bytes=49397760 ns_per_lookup=131.10
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=524288 round=1 slots=175 depth=3 nodes=3015 footprint_bytes=49397760 ns_per_lookup=131.39
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=524288 round=2 slots=175 depth=3 nodes=3015 footprint_bytes=49397760 ns_per_lookup=131.49
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=524288 round=3 slots=175 depth=3 nodes=3015 footprint_bytes=49397760 ns_per_lookup=131.63
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=524288 round=4 slots=175 depth=3 nodes=3015 footprint_bytes=49397760 ns_per_lookup=131.63
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=8388608 round=0 slots=175 depth=4 nodes=48212 footprint_bytes=789905408 ns_per_lookup=609.60
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=8388608 round=1 slots=175 depth=4 nodes=48212 footprint_bytes=789905408 ns_per_lookup=604.60
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=8388608 round=2 slots=175 depth=4 nodes=48212 footprint_bytes=789905408 ns_per_lookup=612.09
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=8388608 round=3 slots=175 depth=4 nodes=48212 footprint_bytes=789905408 ns_per_lookup=644.04
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=8388608 round=4 slots=175 depth=4 nodes=48212 footprint_bytes=789905408 ns_per_lookup=653.02
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=2048 round=0 slots=149 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=58.16
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=2048 round=1 slots=149 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=58.19
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=2048 round=2 slots=149 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=58.12
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=2048 round=3 slots=149 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=58.18
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=2048 round=4 slots=149 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=58.21
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=32768 round=0 slots=149 depth=3 nodes=223 footprint_bytes=3653632 ns_per_lookup=90.22
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=32768 round=1 slots=149 depth=3 nodes=223 footprint_bytes=3653632 ns_per_lookup=90.23
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=32768 round=2 slots=149 depth=3 nodes=223 footprint_bytes=3653632 ns_per_lookup=90.18
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=32768 round=3 slots=149 depth=3 nodes=223 footprint_bytes=3653632 ns_per_lookup=90.22
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=32768 round=4 slots=149 depth=3 nodes=223 footprint_bytes=3653632 ns_per_lookup=90.23
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=0 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=130.35
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=1 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=130.39
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=2 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=130.35
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=3 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=130.40
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=4 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=130.50
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=8388608 round=0 slots=149 depth=4 nodes=56682 footprint_bytes=928677888 ns_per_lookup=667.91
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=8388608 round=1 slots=149 depth=4 nodes=56682 footprint_bytes=928677888 ns_per_lookup=666.08
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=8388608 round=2 slots=149 depth=4 nodes=56682 footprint_bytes=928677888 ns_per_lookup=666.26
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=8388608 round=3 slots=149 depth=4 nodes=56682 footprint_bytes=928677888 ns_per_lookup=667.30
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=8388608 round=4 slots=149 depth=4 nodes=56682 footprint_bytes=928677888 ns_per_lookup=671.53
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=2048 round=0 slots=201 depth=2 nodes=12 footprint_bytes=196608 ns_per_lookup=59.52
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=2048 round=1 slots=201 depth=2 nodes=12 footprint_bytes=196608 ns_per_lookup=59.57
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=2048 round=2 slots=201 depth=2 nodes=12 footprint_bytes=196608 ns_per_lookup=59.50
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=2048 round=3 slots=201 depth=2 nodes=12 footprint_bytes=196608 ns_per_lookup=59.59
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=2048 round=4 slots=201 depth=2 nodes=12 footprint_bytes=196608 ns_per_lookup=59.54
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=32768 round=0 slots=201 depth=2 nodes=165 footprint_bytes=2703360 ns_per_lookup=79.98
E7RESULT name=e128 arm=ledger_bing entry_bytes=81 keys=32768 round=1 slots=201 depth=2 nodes=165 footprint_bytes=2703360 ns_per_lookup=80.11
