E7RESULT name=config iters=2000000 rounds=5 inner=3 node_bytes=16384 node_hdr=64
E7RESULT name=derived arm=bing child_ptr=59 inode_entry=93 ledger_entry=81 root_record=194 tree_entry=121
E7RESULT name=derived arm=jia child_ptr=75 inode_entry=109 ledger_entry=97 root_record=226 tree_entry=137
E7RESULT name=poscontrol arm=inode_bing entry_bytes=93 slots=175 depth_small=2 depth_big=4 ns_small=14214867 ns_big=148523676 ratio=10.45 ok=true
E7RESULT name=poscontrol arm=inode_jia entry_bytes=109 slots=149 depth_small=2 depth_big=4 ns_small=14083896 ns_big=142740802 ratio=10.14 ok=true
E7RESULT name=poscontrol arm=ledger_bing entry_bytes=81 slots=201 depth_small=2 depth_big=4 ns_small=14443408 ns_big=140322822 ratio=9.72 ok=true
E7RESULT name=poscontrol arm=ledger_jia entry_bytes=97 slots=168 depth_small=2 depth_big=4 ns_small=14334058 ns_big=145024811 ratio=10.12 ok=true
E7RESULT name=poscontrol arm=xdev_67 entry_bytes=67 slots=243 depth_small=2 depth_big=3 ns_small=14901300 ns_big=116356445 ratio=7.81 ok=true
E7RESULT name=poscontrol arm=xdev_111 entry_bytes=111 slots=147 depth_small=2 depth_big=4 ns_small=14201836 ns_big=140291731 ratio=9.88 ok=true
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=2048 round=0 slots=175 depth=2 nodes=13 footprint_bytes=212992 ns_per_lookup=57.42
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=2048 round=1 slots=175 depth=2 nodes=13 footprint_bytes=212992 ns_per_lookup=57.51
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=2048 round=2 slots=175 depth=2 nodes=13 footprint_bytes=212992 ns_per_lookup=57.41
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=2048 round=3 slots=175 depth=2 nodes=13 footprint_bytes=212992 ns_per_lookup=57.42
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=2048 round=4 slots=175 depth=2 nodes=13 footprint_bytes=212992 ns_per_lookup=57.47
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=32768 round=0 slots=175 depth=3 nodes=191 footprint_bytes=3129344 ns_per_lookup=92.16
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=32768 round=1 slots=175 depth=3 nodes=191 footprint_bytes=3129344 ns_per_lookup=93.12
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=32768 round=2 slots=175 depth=3 nodes=191 footprint_bytes=3129344 ns_per_lookup=91.87
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=32768 round=3 slots=175 depth=3 nodes=191 footprint_bytes=3129344 ns_per_lookup=91.96
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=32768 round=4 slots=175 depth=3 nodes=191 footprint_bytes=3129344 ns_per_lookup=91.92
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=524288 round=0 slots=175 depth=3 nodes=3015 footprint_bytes=49397760 ns_per_lookup=130.18
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=524288 round=1 slots=175 depth=3 nodes=3015 footprint_bytes=49397760 ns_per_lookup=130.20
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=524288 round=2 slots=175 depth=3 nodes=3015 footprint_bytes=49397760 ns_per_lookup=130.21
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=524288 round=3 slots=175 depth=3 nodes=3015 footprint_bytes=49397760 ns_per_lookup=130.16
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=524288 round=4 slots=175 depth=3 nodes=3015 footprint_bytes=49397760 ns_per_lookup=130.73
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=8388608 round=0 slots=175 depth=4 nodes=48212 footprint_bytes=789905408 ns_per_lookup=586.35
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=8388608 round=1 slots=175 depth=4 nodes=48212 footprint_bytes=789905408 ns_per_lookup=586.75
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=8388608 round=2 slots=175 depth=4 nodes=48212 footprint_bytes=789905408 ns_per_lookup=587.44
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=8388608 round=3 slots=175 depth=4 nodes=48212 footprint_bytes=789905408 ns_per_lookup=586.89
E7RESULT name=e128 arm=inode_bing entry_bytes=93 keys=8388608 round=4 slots=175 depth=4 nodes=48212 footprint_bytes=789905408 ns_per_lookup=587.45
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=2048 round=0 slots=149 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=56.93
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=2048 round=1 slots=149 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=56.99
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=2048 round=2 slots=149 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=56.99
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=2048 round=3 slots=149 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=56.96
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=2048 round=4 slots=149 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=57.05
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=32768 round=0 slots=149 depth=3 nodes=223 footprint_bytes=3653632 ns_per_lookup=87.89
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=32768 round=1 slots=149 depth=3 nodes=223 footprint_bytes=3653632 ns_per_lookup=87.54
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=32768 round=2 slots=149 depth=3 nodes=223 footprint_bytes=3653632 ns_per_lookup=87.64
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=32768 round=3 slots=149 depth=3 nodes=223 footprint_bytes=3653632 ns_per_lookup=87.61
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=32768 round=4 slots=149 depth=3 nodes=223 footprint_bytes=3653632 ns_per_lookup=87.66
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=0 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=126.62
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=1 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=125.18
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=2 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=125.24
E7RESULT name=e128 arm=inode_jia entry_bytes=109 keys=524288 round=3 slots=149 depth=3 nodes=3544 footprint_bytes=58064896 ns_per_lookup=125.25
