E7RESULT name=config r=3 disks=2 k_min_txg=3 retained=4 tolerated_failures=2 bound_g=7 bound_g2r=11 bound_g2s=8 user_blocks=8 metadata_blocks=5 capacity=4000 windows=400 seeds=24 fault_seeds=8 sweep_seeds=8 cost_pairs=1:5/5:10 block_bytes=16384
E7RESULT name=crit1_pinned arm=A s=1 pinned_before=39 expect_before=39 pinned_after=26 expect_after=26
E7RESULT name=crit1_fake arm=C s=1 fake_before=0 expect_before=0 fake_after=0 expect_after=0
E7RESULT name=crit1_pinned arm=A s=4 pinned_before=156 expect_before=156 pinned_after=143 expect_after=143
E7RESULT name=crit1_fake arm=C s=4 fake_before=9 expect_before=9 fake_after=8 expect_after=8
E7RESULT name=crit1_pinned arm=A s=16 pinned_before=624 expect_before=624 pinned_after=611 expect_after=611
E7RESULT name=crit1_fake arm=C s=16 fake_before=45 expect_before=45 fake_after=44 expect_after=44
E7RESULT name=crit1_push arm=A_ring_persisted s=1 empty_cost=1 publications=3 max_publications=3 expect_publications=3 expect_max=3 max_pinned=6 expect_pinned=6 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=A_ring_persisted s=1 empty_cost=5 publications=3 max_publications=3 expect_publications=3 expect_max=3 max_pinned=10 expect_pinned=10 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=A_ring_persisted s=4 empty_cost=1 publications=12 max_publications=12 expect_publications=12 expect_max=12 max_pinned=15 expect_pinned=15 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=A_ring_persisted s=4 empty_cost=5 publications=12 max_publications=12 expect_publications=12 expect_max=12 max_pinned=55 expect_pinned=55 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=A_ring_persisted s=16 empty_cost=1 publications=48 max_publications=48 expect_publications=48 expect_max=48 max_pinned=51 expect_pinned=51 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=A_ring_persisted s=16 empty_cost=5 publications=48 max_publications=48 expect_publications=48 expect_max=48 max_pinned=235 expect_pinned=235 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G_floor_per_disk s=1 empty_cost=1 publications=3 max_publications=3 expect_publications=3 expect_max=3 max_pinned=6 expect_pinned=6 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G_floor_per_disk s=1 empty_cost=5 publications=3 max_publications=3 expect_publications=3 expect_max=3 max_pinned=10 expect_pinned=10 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G_floor_per_disk s=4 empty_cost=1 publications=6/7 max_publications=7 expect_publications=6/7 expect_max=7 max_pinned=10 expect_pinned=10 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G_floor_per_disk s=4 empty_cost=5 publications=6/7 max_publications=7 expect_publications=6/7 expect_max=7 max_pinned=30 expect_pinned=30 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G_floor_per_disk s=16 empty_cost=1 publications=6/7 max_publications=7 expect_publications=6/7 expect_max=7 max_pinned=10 expect_pinned=10 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G_floor_per_disk s=16 empty_cost=5 publications=6/7 max_publications=7 expect_publications=6/7 expect_max=7 max_pinned=30 expect_pinned=30 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G2R_tightened_roots s=1 empty_cost=1 publications=3 max_publications=3 expect_publications=3 expect_max=3 max_pinned=6 expect_pinned=6 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G2R_tightened_roots s=1 empty_cost=5 publications=3 max_publications=3 expect_publications=3 expect_max=3 max_pinned=10 expect_pinned=10 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G2R_tightened_roots s=4 empty_cost=1 publications=6/7 max_publications=7 expect_publications=6/7 expect_max=7 max_pinned=10 expect_pinned=10 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G2R_tightened_roots s=4 empty_cost=5 publications=6/7 max_publications=7 expect_publications=6/7 expect_max=7 max_pinned=30 expect_pinned=30 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G2R_tightened_roots s=16 empty_cost=1 publications=6/7 max_publications=7 expect_publications=6/7 expect_max=7 max_pinned=10 expect_pinned=10 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G2R_tightened_roots s=16 empty_cost=5 publications=6/7 max_publications=7 expect_publications=6/7 expect_max=7 max_pinned=30 expect_pinned=30 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G2S_tightened_states s=1 empty_cost=1 publications=3 max_publications=3 expect_publications=3 expect_max=3 max_pinned=6 expect_pinned=6 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G2S_tightened_states s=1 empty_cost=5 publications=3 max_publications=3 expect_publications=3 expect_max=3 max_pinned=10 expect_pinned=10 lag=0 expect_lag=0 released=1 holds=1
E7RESULT name=crit1_push arm=G2S_tightened_states s=4 empty_cost=1 publications=3/4 max_publications=4 expect_publications=3/4 expect_max=4 max_pinned=7 expect_pinned=7 lag=39 expect_lag=39 released=1 holds=1
E7RESULT name=crit1_push arm=G2S_tightened_states s=4 empty_cost=5 publications=3/4 max_publications=4 expect_publications=3/4 expect_max=4 max_pinned=15 expect_pinned=15 lag=39 expect_lag=39 released=1 holds=1
E7RESULT name=crit1_push arm=G2S_tightened_states s=16 empty_cost=1 publications=3/4 max_publications=4 expect_publications=3/4 expect_max=4 max_pinned=7 expect_pinned=7 lag=39 expect_lag=39 released=1 holds=1
E7RESULT name=crit1_push arm=G2S_tightened_states s=16 empty_cost=5 publications=3/4 max_publications=4 expect_publications=3/4 expect_max=4 max_pinned=15 expect_pinned=15 lag=39 expect_lag=39 released=1 holds=1
E7RESULT name=cell arm=A_ring_persisted world=steady s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=3 avg_candidates_x100=300 avg_nonempty_x100=300 min_states=2 avg_states_x100=299 stalls=0
E7RESULT name=cell arm=C_k_runtime world=steady s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=3 avg_candidates_x100=300 avg_nonempty_x100=300 min_states=2 avg_states_x100=299 stalls=0
E7RESULT name=cell arm=D_floor_txg world=steady s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=3 avg_candidates_x100=300 avg_nonempty_x100=300 min_states=2 avg_states_x100=299 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=steady s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=3 avg_candidates_x100=300 avg_nonempty_x100=300 min_states=2 avg_states_x100=299 stalls=0
E7RESULT name=cell arm=G_txg_cap world=steady s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=3 avg_candidates_x100=300 avg_nonempty_x100=300 min_states=2 avg_states_x100=299 stalls=0
E7RESULT name=cell arm=G2R_tightened_roots world=steady s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=3 avg_candidates_x100=300 avg_nonempty_x100=300 min_states=2 avg_states_x100=299 stalls=0
E7RESULT name=cell arm=G2S_tightened_states world=steady s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=3 avg_candidates_x100=300 avg_nonempty_x100=300 min_states=2 avg_states_x100=299 stalls=0
E7RESULT name=cell arm=G2R_mount world=steady s=1 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=3 avg_candidates_x100=300 avg_nonempty_x100=300 min_states=2 avg_states_x100=299 stalls=0
E7RESULT name=cell arm=A_ring_persisted world=steady s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=12 avg_candidates_x100=1200 avg_nonempty_x100=1200 min_states=2 avg_states_x100=1186 stalls=0
E7RESULT name=cell arm=C_k_runtime world=steady s=4 lost_disk=0 fakes=76224 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=12 avg_candidates_x100=1200 avg_nonempty_x100=1200 min_states=2 avg_states_x100=1186 stalls=0
E7RESULT name=cell arm=D_floor_txg world=steady s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=12 avg_candidates_x100=1200 avg_nonempty_x100=1200 min_states=2 avg_states_x100=1186 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=steady s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=12 avg_candidates_x100=1200 avg_nonempty_x100=1200 min_states=2 avg_states_x100=1186 stalls=0
E7RESULT name=cell arm=G_txg_cap world=steady s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=12 avg_candidates_x100=1200 avg_nonempty_x100=1200 min_states=2 avg_states_x100=1186 stalls=0
E7RESULT name=cell arm=G2R_tightened_roots world=steady s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=12 avg_candidates_x100=1200 avg_nonempty_x100=1200 min_states=2 avg_states_x100=1186 stalls=0
E7RESULT name=cell arm=G2S_tightened_states world=steady s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=12 avg_candidates_x100=1200 avg_nonempty_x100=1200 min_states=2 avg_states_x100=1186 stalls=0
E7RESULT name=cell arm=G2R_mount world=steady s=4 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=12 avg_candidates_x100=1200 avg_nonempty_x100=1200 min_states=2 avg_states_x100=1186 stalls=0
E7RESULT name=cell arm=A_ring_persisted world=steady s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=48 avg_candidates_x100=4800 avg_nonempty_x100=4800 min_states=2 avg_states_x100=4529 stalls=0
E7RESULT name=cell arm=C_k_runtime world=steady s=16 lost_disk=0 fakes=419232 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=48 avg_candidates_x100=4800 avg_nonempty_x100=4800 min_states=2 avg_states_x100=4529 stalls=0
E7RESULT name=cell arm=D_floor_txg world=steady s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=48 avg_candidates_x100=4800 avg_nonempty_x100=4800 min_states=2 avg_states_x100=4529 stalls=0
E7RESULT name=cell arm=G_floor_per_disk world=steady s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=48 avg_candidates_x100=4800 avg_nonempty_x100=4800 min_states=2 avg_states_x100=4529 stalls=0
E7RESULT name=cell arm=G_txg_cap world=steady s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=48 avg_candidates_x100=4800 avg_nonempty_x100=4800 min_states=2 avg_states_x100=4529 stalls=0
E7RESULT name=cell arm=G2R_tightened_roots world=steady s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=48 avg_candidates_x100=4800 avg_nonempty_x100=4800 min_states=2 avg_states_x100=4529 stalls=0
E7RESULT name=cell arm=G2S_tightened_states world=steady s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=48 avg_candidates_x100=4800 avg_nonempty_x100=4800 min_states=2 avg_states_x100=4529 stalls=0
E7RESULT name=cell arm=G2R_mount world=steady s=16 lost_disk=0 fakes=0 unrecoverable=0 retention_violations=0 checks=9600 min_candidates=48 avg_candidates_x100=4800 avg_nonempty_x100=4800 min_states=2 avg_states_x100=4529 stalls=0
