E7RESULT name=config devices=1 ring_regions=3 ring_slots_per_region=4 unit_slots=32 dirty_per_publish=1 normal_publishes=5 rollback_target_txg=3 warm_up_empty_publishes=3 follow_up_max=12 fua_is_boundary=true model=counting file_ops=0
E7RESULT name=anchor arm=baseline table_slot=3 states=3 violations=1 chosen_after_units_only=Some(2)
E7RESULT name=anchor arm=shadow_accounts table_slot=4 states=3 violations=0 chosen_after_units_only=Some(2)
E7RESULT name=anchor arm=tombstones table_slot=3 states=4 violations=0 chosen_after_units_only=Some(1)
E7RESULT name=case1 arm=baseline states=5 closed_form=5 violations=3 tombstone_writes=0 first_violation=segment=0 subset=0b1 chosen=5 overwritten=[6]
E7RESULT name=case1 arm=shadow_accounts states=5 closed_form=5 violations=0 tombstone_writes=0 first_violation=none
E7RESULT name=case1 arm=tombstones states=7 closed_form=7 violations=0 tombstone_writes=2 first_violation=none
E7RESULT name=case2 arm=baseline warm_up=false follow_up=0 faults=1 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=5 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=false follow_up=1 faults=2 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=6 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=false follow_up=2 faults=3 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=false follow_up=3 faults=4 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=8 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=false follow_up=4 faults=5 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=9 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=false follow_up=5 faults=6 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=false follow_up=6 faults=7 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=false follow_up=7 faults=8 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=false follow_up=8 faults=9 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=false follow_up=9 faults=10 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=10 quarantined_by_abandoned=1
E7RESULT name=case2 arm=baseline warm_up=false follow_up=10 faults=11 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=11 quarantined_by_abandoned=1
E7RESULT name=case2 arm=baseline warm_up=false follow_up=11 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=false follow_up=12 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=0 faults=4 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=5 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=1 faults=5 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=6 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=2 faults=6 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=3 faults=7 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=4 faults=8 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=5 faults=9 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=7 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=6 faults=10 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=7 quarantined_by_abandoned=1
E7RESULT name=case2 arm=baseline warm_up=true follow_up=7 faults=11 chosen=Some(5) chosen_is_abandoned=true violation=1 quarantined_total=8 quarantined_by_abandoned=1
E7RESULT name=case2 arm=baseline warm_up=true follow_up=8 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=8 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=9 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=9 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=10 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=10 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=11 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=baseline warm_up=true follow_up=12 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=0 faults=1 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=7 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=1 faults=2 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=8 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=2 faults=3 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=9 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=3 faults=4 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=10 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=4 faults=5 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=11 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=5 faults=6 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=12 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=6 faults=7 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=12 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=7 faults=8 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=12 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=8 faults=9 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=12 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=9 faults=10 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=12 quarantined_by_abandoned=3
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=10 faults=11 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=13 quarantined_by_abandoned=3
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=11 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=shadow_accounts warm_up=false follow_up=12 faults=12 chosen=None chosen_is_abandoned=false violation=0 quarantined_total=11 quarantined_by_abandoned=0
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=0 faults=4 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=7 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=1 faults=5 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=8 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=2 faults=6 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=9 quarantined_by_abandoned=2
E7RESULT name=case2 arm=shadow_accounts warm_up=true follow_up=3 faults=7 chosen=Some(5) chosen_is_abandoned=true violation=0 quarantined_total=9 quarantined_by_abandoned=2
