E7RESULT name=config leaf_cap=512 fanout=256 t_leaves=65536 levels=3 acc_nodes=2 model=counting file_ops=0
E7RESULT name=fixpoint arm=clustered u=1 seed=11 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=6 amp_pct=500.0
E7RESULT name=fixpoint arm=clustered u=1 seed=22 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=6 amp_pct=500.0
E7RESULT name=fixpoint arm=clustered u=1 seed=33 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=6 amp_pct=500.0
E7RESULT name=fixpoint arm=clustered u=1 seed=44 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=6 amp_pct=500.0
E7RESULT name=fixpoint arm=clustered u=1 seed=55 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=6 amp_pct=500.0
E7RESULT name=fixpoint arm=clustered u=12 seed=11 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=17 amp_pct=41.7
E7RESULT name=fixpoint arm=clustered u=12 seed=22 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=17 amp_pct=41.7
E7RESULT name=fixpoint arm=clustered u=12 seed=33 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=17 amp_pct=41.7
E7RESULT name=fixpoint arm=clustered u=12 seed=44 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=17 amp_pct=41.7
E7RESULT name=fixpoint arm=clustered u=12 seed=55 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=17 amp_pct=41.7
E7RESULT name=fixpoint arm=clustered u=128 seed=11 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=133 amp_pct=3.9
E7RESULT name=fixpoint arm=clustered u=128 seed=22 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=133 amp_pct=3.9
E7RESULT name=fixpoint arm=clustered u=128 seed=33 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=133 amp_pct=3.9
E7RESULT name=fixpoint arm=clustered u=128 seed=44 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=133 amp_pct=3.9
E7RESULT name=fixpoint arm=clustered u=128 seed=55 rounds=2 tree_dirty=3 meta_blocks=5 journal_items=133 amp_pct=3.9
E7RESULT name=fixpoint arm=clustered u=1024 seed=11 rounds=2 tree_dirty=5 meta_blocks=7 journal_items=1031 amp_pct=0.7
E7RESULT name=fixpoint arm=clustered u=1024 seed=22 rounds=2 tree_dirty=5 meta_blocks=7 journal_items=1031 amp_pct=0.7
E7RESULT name=fixpoint arm=clustered u=1024 seed=33 rounds=2 tree_dirty=5 meta_blocks=7 journal_items=1031 amp_pct=0.7
E7RESULT name=fixpoint arm=clustered u=1024 seed=44 rounds=2 tree_dirty=5 meta_blocks=7 journal_items=1031 amp_pct=0.7
E7RESULT name=fixpoint arm=clustered u=1024 seed=55 rounds=2 tree_dirty=5 meta_blocks=7 journal_items=1031 amp_pct=0.7
E7RESULT name=fixpoint arm=scattered u=1 seed=11 rounds=72 tree_dirty=5831 meta_blocks=5833 journal_items=5834 amp_pct=583300.0
E7RESULT name=fixpoint arm=scattered u=1 seed=22 rounds=101 tree_dirty=6272 meta_blocks=6274 journal_items=6275 amp_pct=627400.0
E7RESULT name=fixpoint arm=scattered u=1 seed=33 rounds=80 tree_dirty=6066 meta_blocks=6068 journal_items=6069 amp_pct=606800.0
E7RESULT name=fixpoint arm=scattered u=1 seed=44 rounds=120 tree_dirty=5660 meta_blocks=5662 journal_items=5663 amp_pct=566200.0
E7RESULT name=fixpoint arm=scattered u=1 seed=55 rounds=118 tree_dirty=6059 meta_blocks=6061 journal_items=6062 amp_pct=606100.0
E7RESULT name=fixpoint arm=scattered u=12 seed=11 rounds=65 tree_dirty=5907 meta_blocks=5909 journal_items=5921 amp_pct=49241.7
E7RESULT name=fixpoint arm=scattered u=12 seed=22 rounds=81 tree_dirty=6367 meta_blocks=6369 journal_items=6381 amp_pct=53075.0
E7RESULT name=fixpoint arm=scattered u=12 seed=33 rounds=75 tree_dirty=6161 meta_blocks=6163 journal_items=6175 amp_pct=51358.3
E7RESULT name=fixpoint arm=scattered u=12 seed=44 rounds=87 tree_dirty=5779 meta_blocks=5781 journal_items=5793 amp_pct=48175.0
E7RESULT name=fixpoint arm=scattered u=12 seed=55 rounds=117 tree_dirty=6173 meta_blocks=6175 journal_items=6187 amp_pct=51458.3
E7RESULT name=fixpoint arm=scattered u=128 seed=11 rounds=78 tree_dirty=7046 meta_blocks=7048 journal_items=7176 amp_pct=5506.2
E7RESULT name=fixpoint arm=scattered u=128 seed=22 rounds=62 tree_dirty=7349 meta_blocks=7351 journal_items=7479 amp_pct=5743.0
E7RESULT name=fixpoint arm=scattered u=128 seed=33 rounds=74 tree_dirty=7221 meta_blocks=7223 journal_items=7351 amp_pct=5643.0
E7RESULT name=fixpoint arm=scattered u=128 seed=44 rounds=61 tree_dirty=6867 meta_blocks=6869 journal_items=6997 amp_pct=5366.4
E7RESULT name=fixpoint arm=scattered u=128 seed=55 rounds=74 tree_dirty=7284 meta_blocks=7286 journal_items=7414 amp_pct=5692.2
E7RESULT name=fixpoint arm=scattered u=1024 seed=11 rounds=43 tree_dirty=12312 meta_blocks=12314 journal_items=13338 amp_pct=1202.5
E7RESULT name=fixpoint arm=scattered u=1024 seed=22 rounds=50 tree_dirty=12558 meta_blocks=12560 journal_items=13584 amp_pct=1226.6
E7RESULT name=fixpoint arm=scattered u=1024 seed=33 rounds=47 tree_dirty=12457 meta_blocks=12459 journal_items=13483 amp_pct=1216.7
E7RESULT name=fixpoint arm=scattered u=1024 seed=44 rounds=48 tree_dirty=12173 meta_blocks=12175 journal_items=13199 amp_pct=1189.0
E7RESULT name=fixpoint arm=scattered u=1024 seed=55 rounds=52 tree_dirty=12648 meta_blocks=12650 journal_items=13674 amp_pct=1235.4
E7RESULT name=fixpoint arm=meta_clustered u=1 seed=11 rounds=2 tree_dirty=5 meta_blocks=7 journal_items=8 amp_pct=700.0
E7RESULT name=fixpoint arm=meta_clustered u=1 seed=22 rounds=2 tree_dirty=5 meta_blocks=7 journal_items=8 amp_pct=700.0
E7RESULT name=fixpoint arm=meta_clustered u=1 seed=33 rounds=2 tree_dirty=5 meta_blocks=7 journal_items=8 amp_pct=700.0
E7RESULT name=fixpoint arm=meta_clustered u=1 seed=44 rounds=2 tree_dirty=5 meta_blocks=7 journal_items=8 amp_pct=700.0
E7RESULT name=fixpoint arm=meta_clustered u=1 seed=55 rounds=2 tree_dirty=5 meta_blocks=7 journal_items=8 amp_pct=700.0
E7RESULT name=fixpoint arm=meta_clustered u=12 seed=11 rounds=2 tree_dirty=26 meta_blocks=28 journal_items=40 amp_pct=233.3
E7RESULT name=fixpoint arm=meta_clustered u=12 seed=22 rounds=2 tree_dirty=26 meta_blocks=28 journal_items=40 amp_pct=233.3
E7RESULT name=fixpoint arm=meta_clustered u=12 seed=33 rounds=2 tree_dirty=27 meta_blocks=29 journal_items=41 amp_pct=241.7
E7RESULT name=fixpoint arm=meta_clustered u=12 seed=44 rounds=2 tree_dirty=27 meta_blocks=29 journal_items=41 amp_pct=241.7
E7RESULT name=fixpoint arm=meta_clustered u=12 seed=55 rounds=2 tree_dirty=27 meta_blocks=29 journal_items=41 amp_pct=241.7
E7RESULT name=fixpoint arm=meta_clustered u=128 seed=11 rounds=2 tree_dirty=230 meta_blocks=232 journal_items=360 amp_pct=181.2
E7RESULT name=fixpoint arm=meta_clustered u=128 seed=22 rounds=2 tree_dirty=228 meta_blocks=230 journal_items=358 amp_pct=179.7
E7RESULT name=fixpoint arm=meta_clustered u=128 seed=33 rounds=2 tree_dirty=224 meta_blocks=226 journal_items=354 amp_pct=176.6
E7RESULT name=fixpoint arm=meta_clustered u=128 seed=44 rounds=2 tree_dirty=232 meta_blocks=234 journal_items=362 amp_pct=182.8
E7RESULT name=fixpoint arm=meta_clustered u=128 seed=55 rounds=2 tree_dirty=234 meta_blocks=236 journal_items=364 amp_pct=184.4
E7RESULT name=fixpoint arm=meta_clustered u=1024 seed=11 rounds=3 tree_dirty=1273 meta_blocks=1275 journal_items=2299 amp_pct=124.5
E7RESULT name=fixpoint arm=meta_clustered u=1024 seed=22 rounds=3 tree_dirty=1273 meta_blocks=1275 journal_items=2299 amp_pct=124.5
E7RESULT name=fixpoint arm=meta_clustered u=1024 seed=33 rounds=3 tree_dirty=1274 meta_blocks=1276 journal_items=2300 amp_pct=124.6
E7RESULT name=fixpoint arm=meta_clustered u=1024 seed=44 rounds=3 tree_dirty=1271 meta_blocks=1273 journal_items=2297 amp_pct=124.3
E7RESULT name=fixpoint arm=meta_clustered u=1024 seed=55 rounds=3 tree_dirty=1270 meta_blocks=1272 journal_items=2296 amp_pct=124.2
E7RESULT name=done emitted=62
